Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,144.626,109.630,120.980,141.874,158.040,174.119,237.489,180.911,192.261,371.453,365.778,349.355,382.889,376.010,457.868,443.938,298.968,315.563,397.077,462.339,487.790,486.414,495.271,592.777,560.877,507.051,472.829,512.164,523.207,531.636,543.101
industry sector - chemical and petrochemical - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.439,3.009,3.009,3.525,2.580,3.009,3.009,3.009,3.611,4.729,4.041,7.051,7.223,8.169,9.544,10.060,7.739,7.911,7.766,7.719,6.033,6.066
industry sector - construction - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.213,4.127,4.041,4.471,4.471,4.041,4.041,4.041,3.009,3.697,4.385,4.213,4.299,4.901,14.445,12.296,7.911,8.083,7.309,10.365,10.690,10.748
"industry sector - food, beverages and tobacco - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.690,20.034,19.776,22.958,17.025,12.984,15.305,15.305,12.382,15.133,15.391,17.455,17.713,20.034,23.388,24.678,24.506,25.021,24.936,19.197,19.979,20.087
industry sector - iron and steel - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.739,7.051,6.793,7.739,5.761,6.793,6.793,6.793,8.340,9.974,9.716,11.780,11.608,13.156,15.305,16.165,15.133,15.477,15.299,24.056,25.179,25.316
industry sector - machinery - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.299,4.041,3.783,4.385,3.353,3.783,3.783,3.783,3.525,4.041,4.987,4.987,5.073,5.761,6.621,8.770,9.200,9.372,9.458,10.615,10.947,11.007
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.408,2.150,1.978,2.408,2.150,2.236,2.236,2.236,3.095,4.041,4.385,4.385,4.385,4.987,5.847,8.856,7.653,7.825,6.762,5.892,6.076,6.109
industry sector - non-metallic minerals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.853,17.025,16.509,19.003,9.028,12.038,8.684,8.684,6.965,8.598,8.856,13.844,14.101,15.993,5.675,7.997,8.340,8.512,8.598,9.458,9.755,9.808
industry sector - not elsewhere specified - energy use,41.445,31.384,34.652,40.671,45.314,43.508,63.715,33.620,31.040,3.697,3.353,3.095,3.181,2.064,3.095,3.095,3.095,2.236,2.666,3.095,7.137,5.589,6.449,12.124,10.060,3.353,3.439,4.357,6.338,7.803,7.845
"industry sector - paper, pulp and printing - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.653,7.739,7.653,9.028,6.621,5.417,5.417,5.417,5.073,6.191,7.137,7.137,7.223,8.255,9.630,10.146,10.060,10.318,10.232,6.878,7.094,7.132
industry sector - textile and leather - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.802,9.802,9.630,11.264,6.965,9.630,9.630,9.630,8.083,9.888,9.372,11.350,11.608,13.070,15.305,16.079,12.210,12.468,12.334,11.698,12.175,12.241
