Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"3,677.300","3,853.654","3,812.382","3,865.692","3,921.324","4,016.509","4,153.998","4,204.987","4,274.291","4,373.431","4,431.728","4,609.974","4,630.610","4,782.201","4,881.943","4,944.068","5,041.561","5,083.797","5,108.827","4,917.855","5,153.413","5,149.953","5,230.040","5,258.030","5,176.188","5,258.302","5,342.923","5,424.138","5,455.284","5,461.080","5,262.584"
industry sector - chemical and petrochemical - energy use,183.577,182.975,182.889,179.364,181.685,187.188,225.709,237.317,243.078,238.005,265.090,279.622,286.930,288.908,304.385,308.291,318.088,331.758,330.880,332.490,360.624,360.716,369.605,366.439,380.984,389.191,412.867,407.727,408.685,428.560,436.325
industry sector - construction - energy use,39.725,42.218,30.868,29.837,30.782,31.384,36.371,33.620,34.394,33.276,33.534,33.620,32.158,44.024,55.546,59.738,61.916,58.199,47.594,52.020,52.579,55.035,55.028,52.115,43.859,40.283,41.955,48.672,44.992,47.940,43.654
"industry sector - food, beverages and tobacco - energy use",128.977,133.620,138.005,138.779,140.499,147.206,100.860,99.398,101.806,102.236,103.353,108.255,110.920,126.483,148.323,151.340,161.037,158.360,152.206,168.232,177.944,181.061,183.198,165.689,160.019,163.792,170.527,172.747,172.857,179.846,175.817
industry sector - iron and steel - energy use,101.118,93.379,112.210,128.805,125.623,130.525,189.166,222.442,227.859,211.694,229.579,242.906,236.028,230.439,264.316,174.224,180.012,193.502,194.552,172.316,196.422,201.209,205.160,208.888,204.744,222.137,222.691,222.106,225.208,228.601,221.590
industry sector - machinery - energy use,135.082,135.426,129.923,121.496,152.537,163.715,143.422,177.644,181.943,169.046,193.809,204.385,198.796,206.535,240.757,252.305,269.520,281.349,283.638,277.597,305.815,322.471,327.226,299.546,286.213,299.858,319.372,317.305,336.531,317.910,287.374
industry sector - mining and quarrying - energy use,36.543,36.801,38.951,37.489,35.684,34.652,35.082,44.282,45.400,46.432,49.011,51.333,55.546,57.696,58.727,70.279,76.902,79.248,78.672,90.129,112.766,111.510,105.798,140.731,166.515,152.538,153.487,170.799,149.712,128.990,137.909
industry sector - non-ferrous metals - energy use,119.518,110.318,46.174,39.725,34.222,35.340,36.629,49.441,50.645,50.817,56.234,55.202,56.922,60.533,66.724,68.623,71.292,75.895,74.026,67.252,73.269,83.092,84.844,81.943,85.737,82.493,88.696,90.007,92.786,91.942,85.018
industry sector - non-metallic minerals - energy use,118.917,121.066,123.044,123.990,130.696,123.990,111.092,108.942,111.608,153.052,153.654,168.788,174.721,168.788,160.447,167.629,170.096,172.163,175.828,156.276,162.665,160.490,166.602,192.211,208.914,213.500,205.021,204.879,208.030,208.916,202.678
industry sector - not elsewhere specified - energy use,216.681,227.773,227.343,218.917,231.900,237.747,157.438,93.981,96.217,90.370,97.764,101.204,98.022,122.442,147.291,140.828,144.202,152.411,143.824,132.754,140.134,140.357,138.396,115.201,104.228,108.505,110.700,113.153,116.265,114.512,110.995
"industry sector - paper, pulp and printing - energy use",312.296,331.900,343.164,346.260,356.578,371.195,364.058,346.862,355.202,390.456,403.353,400.774,409.200,390.972,419.948,424.366,426.909,431.840,411.869,378.246,404.974,404.095,410.236,421.500,413.397,412.103,430.197,409.857,422.368,420.572,395.993
industry sector - textile and leather - energy use,61.995,62.941,62.511,57.954,57.180,58.126,55.804,57.180,58.555,51.505,50.731,53.998,51.505,53.826,55.030,52.501,50.885,48.837,44.738,38.025,37.559,38.579,39.129,40.503,38.492,34.904,32.457,30.239,26.767,26.074,21.796
