Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"4,985.727","5,203.439","5,381.169","5,442.820","5,713.414","5,885.469","6,008.255","6,176.182","6,359.415","6,406.535","6,667.412","6,719.003","6,745.228","6,855.718","6,994.488","7,039.123","7,261.745","7,270.378","7,282.880","6,823.181","7,345.503","7,164.205","7,143.216","7,137.094","6,977.163","7,016.518","7,066.028","7,067.515","7,119.983","7,036.303","6,801.049"
industry sector - chemical and petrochemical - energy use,849.097,860.705,914.531,883.835,954.944,982.459,993.551,"1,059.587","1,096.905","1,099.742","1,159.071","1,134.050","1,133.018","1,163.972","1,129.656","1,131.728","1,180.396","1,152.769","1,072.863","1,024.936","1,236.965","1,149.140","1,134.858","1,098.065","1,153.766","1,180.972","1,219.527","1,277.816","1,256.973","1,264.746","1,256.750"
industry sector - construction - energy use,7.051,7.739,8.512,17.541,16.939,16.337,17.369,18.401,22.872,23.646,25.279,27.687,27.859,27.515,65.443,64.385,74.325,73.405,88.581,65.434,72.158,74.531,70.017,79.484,69.407,72.115,73.061,72.734,80.843,80.318,79.647
"industry sector - food, beverages and tobacco - energy use",240.155,255.546,272.399,254.170,266.724,284.781,296.991,314.015,313.070,323.904,339.897,347.463,335.942,344.368,363.792,372.786,382.081,395.168,409.682,403.972,422.193,459.914,459.192,462.124,476.449,474.764,489.089,499.733,524.514,531.144,480.361
industry sector - iron and steel - energy use,441.617,463.285,478.590,455.890,504.987,526.741,498.538,541.960,554.170,532.932,591.230,572.915,587.532,603.181,548.392,504.669,567.498,565.417,512.949,349.433,449.733,424.583,405.752,396.509,372.115,378.040,370.052,378.409,385.159,339.347,347.902
industry sector - machinery - energy use,172.227,161.049,163.027,146.088,154.514,164.144,162.253,160.619,170.851,169.475,179.880,180.052,174.119,179.020,185.279,195.185,203.035,201.238,203.233,165.202,170.267,178.298,173.629,168.074,165.348,160.043,150.361,154.660,142.339,141.479,117.713
industry sector - mining and quarrying - energy use,28.633,29.063,30.439,32.244,37.317,34.050,33.448,32.330,30.610,31.470,32.502,32.932,30.439,31.040,44.110,45.486,75.236,62.167,65.090,54.084,101.978,36.285,36.285,37.059,37.747,36.973,37.833,38.891,39.080,38.169,36.354
industry sector - non-ferrous metals - energy use,181.083,184.867,155.116,149.269,160.103,158.469,157.610,162.253,160.705,163.972,175.838,170.249,171.711,179.106,176.707,162.545,170.963,174.824,168.048,82.416,164.643,168.667,160.894,161.849,167.850,166.492,161.505,172.829,183.491,177.541,166.406
industry sector - non-metallic minerals - energy use,179.278,176.182,191.058,186.156,200.258,208.426,207.137,212.984,210.060,212.382,216.509,214.703,216.251,220.378,202.794,208.031,185.838,207.902,205.331,178.048,139.209,226.294,214.084,205.494,208.022,202.365,198.994,169.381,173.353,168.960,171.943
industry sector - not elsewhere specified - energy use,61.651,65.864,67.670,113.586,117.627,112.812,116.337,123.474,145.916,158.298,164.746,161.307,158.383,166.208,191.221,186.810,211.617,209.622,243.904,192.966,204.764,226.079,211.470,212.880,187.541,188.917,190.954,179.931,174.127,172.932,158.349
"industry sector - paper, pulp and printing - energy use",182.029,176.010,191.660,175.838,189.080,200.258,191.917,204.643,203.869,212.812,217.111,211.952,214.703,220.378,243.439,261.754,268.005,265.400,256.621,238.263,267.790,235.537,229.175,224.377,227.954,217.120,221.092,185.271,180.120,172.502,147.971
industry sector - textile and leather - energy use,145.658,149.527,151.849,145.314,154.342,151.075,154.256,160.877,166.294,164.918,172.743,171.367,164.918,168.702,142.347,135.959,134.626,134.609,110.387,96.053,93.543,88.882,88.495,97.257,93.775,96.819,91.333,88.530,90.404,85.090,71.702
industry sector - transport equipment - energy use,82.975,85.383,86.844,82.545,85.813,87.274,86.758,89.080,89.166,90.026,97.936,88.736,82.459,86.071,81.135,87.730,90.421,83.895,87.042,72.021,71.978,74.979,74.540,73.001,70.447,68.246,64.411,67.618,75.477,70.404,62.270
industry sector - wood and wood products - energy use,53.052,57.266,58.040,44.970,47.120,48.667,50.129,51.419,50.903,52.279,55.288,59.243,50.301,51.677,28.641,28.212,32.554,31.660,38.478,28.435,31.513,32.537,33.035,32.193,32.107,32.794,30.929,32.356,48.633,48.048,41.505
