Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,3 032.846,2 594.841,2 250.129,2 253.568,2 278.332,2 466.810,2 570.077,2 314.359,2 247.721,2 045.830,2 085.211,2 114.617,2 070.593,2 161.135,2 141.531,2 211.178,2 311.952,2 339.897,2 464.144,2 308.426,2 330.439,2 443.766,2 394.239,2 367.326,2 379.536,2 435.598,2 484.781,2 571.679,2 570.375,2 589.761,2 459.374
industry sector - chemical and petrochemical - energy use,433.964,355.632,307.481,253.912,289.682,306.363,308.083,267.928,209.114,160.361,156.578,158.469,136.113,132.072,135.856,144.196,149.785,155.374,140.499,104.901,80.739,86.414,99.398,106.105,106.277,121.238,123.388,127.781,117.246,119.391,119.419
industry sector - construction - energy use,77.042,51.849,36.028,32.674,26.139,30.525,21.496,26.053,22.786,16.423,12.984,13.328,11.092,14.101,12.984,14.531,18.573,23.904,35.254,31.642,26.053,31.642,23.818,25.709,22.356,22.442,21.582,21.505,19.727,22.989,20.049
"industry sector - food, beverages and tobacco - energy use",112.984,87.188,86.242,84.609,85.039,78.332,94.841,72.829,73.517,77.214,70.077,76.784,73.431,74.721,96.045,106.621,91.831,90.886,110.146,96.303,94.411,96.389,94.239,97.936,100.860,103.353,104.729,107.866,114.274,115.779,108.338
industry sector - iron and steel - energy use,247.034,199.226,153.482,154.084,175.494,182.975,169.304,176.612,166.208,117.713,146.346,160.103,141.359,168.444,160.619,149.613,167.154,153.998,137.145,95.701,72.055,74.549,61.479,56.320,61.565,60.791,62.253,67.690,70.276,64.066,56.556
industry sector - machinery - energy use,246.088,171.453,134.824,115.907,112.038,123.904,119.776,114.015,99.226,62.855,61.393,63.113,64.488,68.960,65.348,70.421,68.358,72.915,76.612,58.899,63.457,78.418,77.472,77.816,77.558,80.052,84.609,88.999,92.058,89.106,80.564
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,74.635,86.672,82.029,74.119,74.893,77.558,77.214,75.236,71.109,76.010,76.612,80.052,82.115,75.494,72.399,80.052,82.201,82.889,81.169,91.917,93.121,94.921,96.597,100.743,100.273
industry sector - non-ferrous metals - energy use,152.794,131.900,144.626,137.575,133.190,141.960,82.201,67.670,67.412,61.737,64.746,67.240,52.279,64.746,70.507,70.163,71.625,73.001,79.880,75.666,78.848,81.857,74.119,86.242,86.328,74.205,66.208,90.228,93.013,89.122,93.603
industry sector - non-metallic minerals - energy use,99.914,58.383,48.409,72.657,74.979,87.532,81.513,73.603,63.285,55.804,53.654,54.256,52.107,54.858,60.017,67.928,75.408,84.523,84.007,62.597,64.918,64.918,64.488,63.457,72.657,76.182,76.698,80.321,81.220,82.461,80.658
industry sector - not elsewhere specified - energy use,87.962,57.524,38.435,12.812,10.748,2.150,6.965,31.126,39.811,26.913,22.958,24.936,20.636,30.868,35.426,34.910,35.856,36.371,45.056,37.059,35.168,41.015,44.970,44.024,47.721,51.161,52.365,59.012,61.503,61.967,60.946
