Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"1,143.852",991.316,817.369,805.761,824.850,853.052,884.265,950.559,953.568,"1,006.449","1,017.455","1,031.900","1,092.175","1,115.391","1,178.160","1,239.639","1,296.561","1,322.786","1,387.532","1,333.706","1,363.887","1,352.966","1,319.862","1,295.959","1,275.408","1,319.261","1,315.563","1,373.921","1,390.817","1,389.114","1,308.289"
industry sector - chemical and petrochemical - energy use,68.014,57.782,69.561,59.501,50.731,52.193,46.604,47.034,43.164,46.088,45.658,43.422,42.562,45.572,40.413,40.757,41.015,50.903,41.960,38.779,40.929,35.254,22.098,23.130,23.388,26.311,26.225,26.440,26.836,27.575,29.028
industry sector - construction - energy use,12.296,10.662,7.481,7.911,7.051,6.535,7.223,8.083,7.739,6.793,6.277,6.363,6.621,7.825,8.083,7.997,8.512,8.512,10.146,10.146,9.372,8.255,7.911,7.309,6.965,6.535,6.707,6.586,6.698,6.776,7.008
"industry sector - food, beverages and tobacco - energy use",39.897,34.394,31.040,30.181,29.837,30.095,31.470,34.738,36.028,36.887,35.512,37.403,39.123,45.400,50.129,45.572,48.667,50.559,55.976,54.084,56.406,56.664,56.578,58.126,60.103,61.049,61.307,59.811,58.392,58.856,56.999
industry sector - iron and steel - energy use,87.962,69.905,48.237,37.575,44.282,26.569,20.292,23.818,20.034,13.414,18.573,12.726,10.490,11.780,16.165,15.477,17.713,17.455,21.066,11.952,15.563,15.133,7.051,14.445,15.133,14.617,4.299,4.617,15.073,11.427,9.398
industry sector - machinery - energy use,17.541,19.175,15.993,10.662,10.748,10.576,10.490,15.391,15.219,13.929,13.929,14.101,14.187,16.251,18.831,20.722,23.732,26.741,30.954,25.881,26.913,27.601,27.429,28.375,34.394,36.801,40.069,39.261,35.572,33.740,32.270
industry sector - mining and quarrying - energy use,5.073,4.127,3.267,3.181,3.267,3.697,3.611,3.525,3.439,3.439,3.181,3.525,3.955,4.901,5.417,4.815,5.159,4.987,4.471,4.901,4.041,3.439,3.525,3.611,3.439,3.783,4.213,2.829,2.476,2.752,2.683
industry sector - non-ferrous metals - energy use,113.414,83.061,4.729,4.987,4.471,5.417,5.933,4.729,5.847,6.105,5.675,6.535,7.911,6.879,6.879,7.997,7.825,8.255,6.707,6.621,6.105,7.051,7.395,7.395,6.793,3.095,2.752,7.412,8.487,8.762,8.590
industry sector - non-metallic minerals - energy use,60.791,46.604,41.273,36.715,38.263,33.964,36.629,38.521,44.626,47.721,48.495,52.193,53.396,60.017,56.234,58.899,62.081,63.027,63.801,53.482,53.740,47.034,44.884,45.916,47.463,49.699,49.441,58.212,58.831,59.123,61.857
industry sector - not elsewhere specified - energy use,10.576,4.041,4.299,5.417,5.331,5.331,5.073,14.273,13.500,12.726,11.780,11.780,10.920,12.210,13.929,15.563,18.143,21.324,21.152,20.292,19.261,18.487,20.034,20.980,23.044,24.850,28.375,28.796,29.097,30.525,28.788
"industry sector - paper, pulp and printing - energy use",27.859,20.722,20.808,22.012,23.216,19.518,18.143,20.722,20.464,21.496,24.162,25.107,26.483,27.687,25.107,26.827,28.031,28.547,27.515,27.257,27.687,27.773,24.506,21.496,21.582,23.990,26.569,27.893,27.291,24.445,28.229
