Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,153.998,161.393,182.201,198.538,207.395,191.144,197.678,204.815,224.850,238.005,257.610,267.412,291.058,313.500,322.387,340.529,358.414,377.073,398.483,408.543,419.807,405.969,379.143,337.182,340.966,351.800,378.283,390.525,401.088,406.151,376.341
industry sector - chemical and petrochemical - energy use,3.611,3.783,3.095,3.181,3.611,3.697,3.697,0.946,1.032,1.032,1.376,1.634,1.634,1.720,1.806,2.064,2.150,2.322,2.408,2.408,2.580,2.494,2.752,3.009,3.267,3.439,3.697,3.766,3.840,4.059,4.263
industry sector - construction - energy use,0.258,0.258,0.258,0.258,0.258,0.258,0.344,0.172,0.172,0.258,0.258,0.258,0.344,0.516,0.602,0.688,0.774,0.860,1.032,0.946,1.032,1.032,0.860,0.516,0.430,0.344,0.344,0.421,0.581,0.734,0.845
"industry sector - food, beverages and tobacco - energy use",5.933,6.191,6.793,7.653,7.997,8.598,8.942,9.200,9.716,10.404,10.920,11.350,12.640,13.672,13.929,14.273,14.703,15.735,16.767,16.595,16.939,15.907,15.821,14.617,13.844,13.929,14.617,15.148,15.654,15.758,15.477
industry sector - iron and steel - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.086,0.086,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.174,0.194,0.210,0.230
industry sector - machinery - energy use,1.634,1.634,1.634,1.634,1.634,1.806,1.806,1.720,1.806,1.892,1.978,1.978,2.064,1.978,2.322,2.494,2.666,2.837,2.923,2.580,2.494,2.236,2.064,1.720,1.462,1.462,1.720,1.778,2.089,1.966,1.708
industry sector - mining and quarrying - energy use,0.000,0.000,1.118,1.118,1.032,0.946,0.946,0.774,0.946,0.774,0.774,0.860,1.032,1.118,1.720,1.204,1.376,3.095,3.353,2.923,2.923,3.439,3.009,2.494,2.494,2.150,2.494,2.522,2.524,2.354,1.806
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - non-metallic minerals - energy use,12.812,12.210,13.242,13.929,14.187,13.758,14.445,14.187,15.563,14.445,15.907,15.735,15.993,17.885,18.573,19.003,19.347,19.347,19.862,17.197,15.821,13.328,10.920,11.952,12.898,12.726,13.242,15.029,14.814,14.848,15.866
industry sector - not elsewhere specified - energy use,0.086,0.086,0.172,0.172,0.172,0.172,0.172,3.439,3.439,4.385,3.697,3.697,3.869,4.041,3.955,3.869,4.041,4.127,4.557,4.471,4.471,3.869,3.095,2.752,2.837,2.837,3.009,3.217,3.367,3.305,3.238
"industry sector - paper, pulp and printing - energy use",1.118,1.118,1.204,1.204,1.376,1.376,1.118,1.032,1.118,1.204,1.290,1.376,1.376,1.462,1.548,1.548,1.720,1.720,1.892,1.892,1.806,1.634,1.720,1.376,1.376,1.376,1.376,1.403,1.381,1.358,1.205
industry sector - textile and leather - energy use,2.236,2.322,2.408,2.236,2.150,2.064,1.720,1.634,1.462,1.376,1.290,1.204,1.118,1.118,0.946,0.946,0.860,0.774,0.774,0.774,0.688,0.602,0.516,0.516,0.430,0.430,0.430,0.419,0.427,0.427,0.385
industry sector - transport equipment - energy use,0.000,0.000,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.172,0.172,0.172,0.172,0.172,0.166,0.172,0.169,0.163
industry sector - wood and wood products - energy use,1.032,1.118,1.204,1.290,1.376,1.376,1.376,0.774,0.860,0.860,0.774,0.602,0.602,0.688,0.688,0.688,0.688,0.774,0.774,0.774,0.774,0.688,0.602,0.430,0.430,0.430,0.516,0.516,0.532,0.554,0.517
other sectors - agriculture and forestry - energy use,4.643,4.987,4.729,4.815,5.245,5.933,6.793,6.535,7.309,7.653,8.169,7.997,8.684,9.716,9.802,10.146,10.834,11.608,13.242,12.124,12.898,11.522,10.834,11.952,12.468,12.038,14.445,14.428,14.928,13.289,13.941
other sectors - commercial and public services - energy use,52.623,56.492,60.705,65.176,71.539,72.055,73.173,87.790,92.605,107.223,107.567,125.193,136.199,143.078,147.236,153.599,159.790,167.872,177.761,186.101,194.012,183.871,172.006,153.605,158.076,162.204,177.595,180.280,186.933,186.736,154.864
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.344,0.344,0.293,0.274,0.285,0.262
other sectors - households - energy use,38.607,40.585,50.473,55.976,58.040,65.262,70.851,71.711,77.730,81.857,90.714,89.596,99.484,111.350,113.156,123.216,128.977,138.263,144.712,148.065,149.441,148.151,143.852,123.560,122.528,130.267,136.285,143.119,145.166,152.338,155.274
other sectors - not elsewhere specified - energy use,29.407,30.610,35.082,39.811,38.693,13.758,12.210,4.815,11.006,4.557,12.812,5.847,5.933,5.073,5.761,6.363,10.060,7.309,7.911,11.178,13.414,16.681,10.490,8.083,7.825,7.481,7.825,7.844,8.212,7.761,6.297
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
