Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,4 142.476,3 823.388,3 730.439,3 699.312,3 866.552,4 134.308,4 323.646,4 267.842,4 202.494,4 137.747,4 246.002,4 374.979,4 369.991,4 506.191,4 501.634,4 608.856,4 748.495,4 760.619,4 826.827,4 567.842,4 662.339,4 613.156,4 633.190,4 575.838,4 575.752,4 684.179,4 802.408,4 936.132,4 995.930,5 022.911,4 903.570
industry sector - chemical and petrochemical - energy use,302.494,260.533,223.388,140.327,157.180,154.514,228.977,261.737,280.052,281.685,274.807,294.927,276.096,313.070,324.248,333.706,333.706,333.534,312.382,292.003,311.780,313.929,318.659,296.733,319.948,304.213,277.386,290.986,283.379,283.008,256.644
industry sector - construction - energy use,50.043,43.078,40.585,39.123,41.960,43.680,43.336,37.747,42.304,33.534,27.257,26.225,27.515,25.967,35.426,34.222,40.929,39.037,40.929,41.788,43.938,42.304,39.209,36.457,38.693,40.929,42.304,46.851,53.283,50.550,47.520
"industry sector - food, beverages and tobacco - energy use",122.958,114.445,113.328,104.557,106.621,112.640,117.025,113.929,123.044,123.646,118.401,132.760,131.900,133.878,137.059,136.715,137.833,135.168,148.065,140.327,136.973,139.725,139.295,126.225,127.515,136.285,136.629,144.398,151.980,158.061,158.029
industry sector - iron and steel - energy use,441.273,380.052,297.506,253.998,262.769,291.660,252.107,258.212,246.948,250.043,258.040,249.871,322.528,303.525,306.105,295.701,291.402,269.819,271.109,267.154,218.143,224.506,197.420,197.764,202.408,201.720,204.127,199.182,202.702,192.286,184.672
industry sector - machinery - energy use,354.514,285.469,220.980,176.268,174.463,184.179,184.609,183.663,188.650,184.953,199.914,216.595,221.066,233.104,271.969,292.605,302.752,333.792,344.282,266.638,304.815,328.461,332.244,320.206,328.203,343.594,349.871,373.432,366.525,374.779,355.030
industry sector - mining and quarrying - energy use,18.745,18.315,17.627,15.133,14.445,16.853,18.057,15.305,15.133,14.445,14.703,14.703,15.821,17.283,17.283,17.283,17.627,18.659,28.633,22.442,35.426,33.792,31.126,31.212,30.439,30.095,31.986,32.330,31.995,32.248,30.336
industry sector - non-ferrous metals - energy use,56.062,31.126,17.197,14.445,8.598,14.875,15.735,11.694,15.477,23.044,23.990,24.076,8.942,24.076,25.021,28.289,28.891,26.311,26.569,22.528,18.487,22.528,30.439,30.009,31.470,31.384,34.824,35.367,35.561,34.585,31.567
industry sector - non-metallic minerals - energy use,219.776,174.893,174.549,171.281,165.004,174.635,168.960,176.956,178.332,185.039,175.150,195.959,185.899,204.729,209.114,218.143,214.015,232.244,228.289,171.625,181.857,192.089,188.908,172.657,188.134,195.959,204.815,209.046,212.731,206.114,199.728
industry sector - not elsewhere specified - energy use,315.563,294.669,236.629,229.235,250.473,269.132,235.168,233.534,190.026,173.087,185.727,167.670,167.154,173.173,178.762,189.682,210.920,228.547,212.124,209.114,164.918,164.316,171.797,164.918,169.561,174.635,190.628,197.561,203.917,209.753,191.071
