Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"2,439.381","2,515.649","2,558.040","2,593.551","2,644.540","2,655.632","2,726.483","2,741.617","2,756.406","2,767.498","2,790.800","2,800.172","2,795.701","2,782.975","2,835.168","2,877.214","2,905.073","2,878.418","2,848.065","2,703.783","2,756.492","2,722.184","2,681.083","2,674.635","2,646.174","2,649.097","2,673.624","2,671.837","2,658.424","2,652.619","2,685.290"
industry sector - chemical and petrochemical - energy use,74.979,77.300,83.921,88.736,88.220,92.347,101.978,105.503,98.452,106.879,112.898,116.767,119.003,109.200,108.856,119.433,114.445,106.535,112.210,105.589,107.395,111.780,122.528,116.337,112.812,115.192,131.972,133.972,123.439,119.103,123.136
industry sector - construction - energy use,25.193,26.225,28.633,26.827,27.171,26.483,25.881,27.773,27.429,29.235,28.977,28.375,29.149,28.289,29.063,30.439,32.502,34.910,37.403,32.072,32.760,30.696,32.158,31.040,30.696,31.040,32.072,34.628,35.197,32.473,34.035
"industry sector - food, beverages and tobacco - energy use",178.246,178.848,180.482,186.586,184.523,193.981,188.220,194.411,192.863,195.615,199.484,201.376,203.611,201.634,208.942,220.034,214.359,209.028,212.382,193.551,199.054,205.417,202.064,195.443,200.258,204.762,199.807,202.836,210.325,202.922,209.794
industry sector - iron and steel - energy use,60.275,57.008,58.641,58.727,59.931,62.683,64.316,66.122,66.638,77.558,80.224,80.739,55.460,43.164,44.884,49.355,44.626,39.037,35.942,19.518,20.464,23.990,34.566,34.136,37.661,37.386,36.762,37.319,40.526,39.100,40.424
industry sector - machinery - energy use,123.216,127.085,122.356,118.229,134.480,134.652,136.199,138.521,141.960,127.859,130.095,132.244,134.738,133.792,139.123,141.617,145.744,148.925,143.336,133.362,133.448,133.104,128.633,123.130,120.378,121.167,114.948,116.690,117.518,113.407,117.247
industry sector - mining and quarrying - energy use,8.684,9.200,9.458,9.114,8.426,8.770,7.567,7.051,7.223,7.309,8.255,8.426,8.598,7.653,8.083,7.137,6.879,6.707,6.535,6.019,6.105,6.879,8.770,7.567,6.621,7.810,6.937,7.042,6.960,6.715,6.943
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - non-metallic minerals - energy use,60.705,63.543,61.823,62.769,70.077,68.702,71.281,71.281,72.485,78.332,76.182,74.377,75.752,74.807,77.730,81.341,82.803,83.749,69.304,57.094,56.664,59.157,65.176,63.285,62.855,63.991,69.707,70.764,74.421,71.802,74.233
industry sector - not elsewhere specified - energy use,83.491,87.102,90.886,90.456,95.959,98.710,101.806,107.739,111.522,104.127,106.277,103.439,105.331,115.133,119.690,123.044,116.337,104.557,95.529,80.739,82.201,81.341,73.345,71.797,69.647,71.867,69.826,70.885,69.296,66.863,69.128
"industry sector - paper, pulp and printing - energy use",49.097,51.075,48.323,45.142,44.282,47.979,50.817,52.107,53.654,51.935,53.138,54.342,55.374,56.750,58.985,49.527,51.763,52.966,51.935,43.680,43.508,43.078,28.375,34.308,29.665,30.524,26.077,26.473,28.833,27.820,28.762
industry sector - textile and leather - energy use,19.433,20.206,20.808,19.776,17.541,19.948,18.659,18.057,17.455,18.315,18.143,17.971,18.315,18.229,19.003,15.735,14.961,14.703,14.531,13.500,13.500,13.328,10.318,11.006,10.146,10.069,9.712,9.859,9.354,9.025,9.331
industry sector - transport equipment - energy use,18.487,20.894,21.152,21.152,24.162,22.356,23.302,26.139,25.967,18.917,16.939,15.907,16.165,14.273,14.875,16.423,19.003,22.012,19.518,17.541,17.541,14.359,8.340,11.866,7.739,7.706,7.739,7.856,8.702,8.396,8.680
industry sector - wood and wood products - energy use,21.238,21.754,25.365,28.633,26.569,30.009,29.579,30.868,31.556,30.353,28.633,25.709,26.225,27.429,28.461,28.203,28.289,27.601,23.732,19.433,19.433,20.464,20.292,18.831,17.799,17.633,18.516,18.796,18.293,17.649,18.247
other sectors - agriculture and forestry - energy use,145.658,147.377,156.922,163.715,161.393,154.686,164.660,168.100,162.683,166.552,167.412,161.823,159.415,163.801,163.113,163.801,168.702,162.339,165.520,161.307,164.746,158.813,153.310,157.094,153.396,153.433,149.870,151.301,149.653,157.050,155.344
other sectors - commercial and public services - energy use,721.668,739.467,754.686,767.068,785.727,788.736,809.028,816.595,836.113,840.929,855.890,875.236,881.083,876.096,894.153,900.430,923.216,944.884,943.766,918.315,931.642,916.251,901.204,879.364,884.609,867.346,878.122,899.856,890.456,859.930,804.135
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,831.470,871.453,877.816,888.392,896.647,885.211,911.092,887.102,882.459,884.265,878.332,873.517,876.182,882.373,888.392,898.452,909.114,889.854,883.921,868.100,893.293,869.390,858.899,886.242,868.788,875.035,883.099,845.793,837.647,880.624,941.183
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,17.541,17.111,16.767,18.229,19.433,20.378,22.098,24.248,27.945,29.321,29.923,29.923,31.298,30.353,31.814,32.244,32.330,30.610,32.502,33.964,34.738,34.136,33.104,33.190,33.104,34.136,35.856,35.001,34.658,35.412,36.451
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.603,2.767,3.145,4.329,8.215
