Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,585.125,577.386,493.895,390.370,411.522,391.745,419.518,443.508,443.250,415.133,431.212,444.368,458.727,481.169,508.426,519.347,558.040,584.265,602.236,571.797,593.981,569.819,600.000,586.414,593.809,589.166,627.601,621.882,644.110,629.144,617.374
industry sector - chemical and petrochemical - energy use,80.911,86.071,56.406,31.986,44.626,47.034,47.120,52.709,35.942,34.910,26.741,26.397,24.248,26.225,28.375,30.782,31.040,27.515,30.439,27.601,21.668,17.111,17.025,21.754,12.984,11.522,9.802,9.802,9.974,12.058,10.972
industry sector - construction - energy use,7.223,7.051,6.793,4.299,16.165,10.318,10.232,9.458,8.770,8.684,8.770,7.997,8.083,8.255,8.169,8.340,9.200,9.114,8.684,6.707,5.331,6.105,7.051,7.223,6.707,6.965,7.137,7.051,6.105,5.708,7.270
"industry sector - food, beverages and tobacco - energy use",22.872,20.980,19.003,17.283,19.261,21.410,20.980,30.009,25.967,22.614,22.958,24.678,25.107,24.850,25.795,26.139,25.279,27.085,26.655,21.410,23.904,22.786,27.601,24.764,27.343,27.601,27.515,26.569,24.936,25.574,26.644
industry sector - iron and steel - energy use,0.000,0.000,0.000,0.860,0.774,0.774,0.688,0.602,0.344,0.344,0.344,0.344,0.344,0.344,0.258,0.430,0.516,0.430,0.344,0.258,0.258,0.258,0.086,0.086,0.086,0.086,0.086,0.172,0.258,0.691,0.716
industry sector - machinery - energy use,25.537,29.407,11.264,11.092,12.382,14.187,13.328,12.898,13.070,11.350,11.436,11.350,13.500,15.649,17.197,17.799,18.573,19.776,21.324,20.120,25.279,25.193,24.506,22.356,21.324,21.496,25.279,25.967,27.515,19.414,19.247
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,2.923,1.204,0.688,1.634,2.064,0.430,0.430,0.688,1.290,1.032,1.462,1.634,1.720,1.720,1.720,1.634,1.376,1.290,1.376,1.634,1.634,1.548,1.548,1.548,0.860,1.720,1.534,1.431
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.258,0.258,0.344,0.258,0.602,0.602,0.774,0.774,0.516,0.860,0.602,0.774,0.430,0.430,0.344,0.430,0.000,0.258,0.233,0.271
industry sector - non-metallic minerals - energy use,0.000,19.175,18.487,12.210,16.595,17.111,15.563,22.270,14.703,12.898,12.984,14.273,14.789,16.681,17.197,17.627,18.745,22.528,21.066,17.627,18.057,17.369,17.713,16.681,17.971,13.672,13.844,12.898,16.681,16.003,11.446
industry sector - not elsewhere specified - energy use,49.527,37.833,24.420,10.576,10.748,11.436,13.844,18.745,13.929,14.789,15.821,17.197,18.401,18.487,18.057,19.261,19.690,20.636,21.152,14.359,15.391,16.767,17.971,15.219,15.563,15.907,17.197,16.509,15.391,13.599,14.078
"industry sector - paper, pulp and printing - energy use",12.210,11.952,8.426,0.774,1.462,2.322,4.987,7.309,8.255,8.340,8.942,9.372,11.178,10.920,11.694,12.038,22.958,29.665,28.805,23.646,30.181,28.977,31.298,30.525,31.556,31.728,34.652,42.218,41.445,30.484,30.953
industry sector - textile and leather - energy use,29.063,28.203,19.003,13.844,15.993,15.219,16.853,17.713,20.550,21.754,25.881,21.410,20.808,21.926,22.442,16.767,16.767,12.898,11.436,9.974,10.576,10.662,10.146,9.544,9.888,8.426,6.363,4.987,5.245,4.554,5.105
industry sector - transport equipment - energy use,0.000,0.000,4.987,1.204,0.000,0.000,6.707,5.417,6.535,4.041,4.127,2.580,3.353,3.611,3.955,4.041,4.729,4.643,3.697,3.267,3.439,3.783,5.245,6.019,5.245,5.589,5.761,6.191,7.051,5.102,5.058
industry sector - wood and wood products - energy use,7.395,7.051,5.675,6.879,8.169,10.060,12.038,11.178,16.767,17.197,18.831,19.003,20.894,25.881,29.321,30.868,31.298,28.891,24.764,20.034,23.904,24.936,26.999,29.149,31.384,32.158,35.426,42.906,46.346,48.358,49.871
other sectors - agriculture and forestry - energy use,172.485,172.313,94.669,96.475,37.317,31.470,29.321,21.238,23.130,21.238,19.261,17.541,17.197,18.057,18.229,18.057,17.713,16.423,16.337,15.047,15.993,15.477,18.143,17.025,16.767,16.939,17.971,20.292,13.758,11.522,11.622
other sectors - commercial and public services - energy use,18.143,22.270,87.360,74.033,103.869,105.417,106.793,119.003,129.579,111.436,120.464,127.171,134.996,143.078,159.071,165.864,187.102,202.752,219.518,220.034,215.907,204.471,218.057,217.541,240.327,241.874,255.460,233.490,252.193,251.161,244.712
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.860,0.946,0.344,0.086,0.086,0.344,0.774,0.774,0.688,0.860,0.688,0.516,1.204,0.430,0.344,0.344
other sectors - households - energy use,75.752,79.450,105.761,94.153,109.200,91.745,106.105,103.611,115.993,117.197,126.053,136.285,136.199,137.059,139.123,139.295,144.024,152.451,158.641,161.995,173.947,166.294,168.186,160.361,149.527,148.581,164.488,166.810,159.931,177.988,171.797
other sectors - not elsewhere specified - energy use,54.084,26.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.178,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,14.961,14.789,17.455,2.408,6.535,6.191,7.395,8.083,7.481,6.449,6.449,5.761,6.879,6.793,5.589,7.653,5.933,5.503,5.761,4.643,4.471,3.955,3.869,2.666,1.634,1.462,1.634,1.462,1.376,2.322,3.611
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,14.961,14.789,14.187,9.372,7.223,6.363,5.933,1.204,1.806,1.462,1.376,1.462,1.462,1.548,1.204,1.204,1.204,1.118,1.118,1.032,1.204,1.032,1.032,0.946,1.118,1.118,1.032,1.118,0.860,1.032,0.989
