Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"5,068.186","5,080.567","5,138.263","5,353.998","5,593.465","5,607.653","5,718.057","6,061.221","6,262.511","6,385.383","6,507.739","6,653.998","6,851.591","6,953.396","7,146.948","6,943.422","7,397.764","7,402.064","7,099.054","6,628.461","7,180.138","6,888.564","6,941.101","6,875.408","6,805.761","6,749.527","6,960.705","6,968.100","7,116.853","6,991.402","6,612.296"
industry sector - chemical and petrochemical - energy use,314.273,309.974,317.283,334.480,352.966,324.592,326.311,333.620,337.661,353.310,371.883,376.956,392.777,397.334,410.146,397.163,419.433,435.426,409.974,369.647,395.099,407.997,398.710,408.512,402.322,403.697,430.267,396.733,420.206,407.223,392.949
industry sector - construction - energy use,42.132,34.566,26.827,21.410,19.862,17.627,18.057,17.197,18.917,19.089,18.401,20.636,21.066,20.808,22.012,23.216,25.795,30.009,27.429,26.999,30.439,30.009,31.642,32.502,37.231,31.986,35.770,38.693,35.684,42.046,40.327
"industry sector - food, beverages and tobacco - energy use",111.780,113.070,113.500,115.649,120.378,121.238,125.709,131.642,133.964,135.254,131.556,131.384,134.480,133.018,128.375,125.709,136.113,126.225,106.019,158.555,141.531,140.499,135.168,143.250,152.537,144.712,146.604,166.122,176.096,168.186,174.119
industry sector - iron and steel - energy use,159.759,157.610,161.221,174.119,180.396,201.462,206.535,212.640,221.668,230.954,243.336,260.447,260.017,277.816,293.207,296.475,312.124,296.217,282.373,227.945,281.685,300.688,287.962,335.512,344.110,374.291,379.536,363.027,370.421,370.335,370.507
industry sector - machinery - energy use,153.482,148.753,151.333,148.323,161.221,132.760,141.273,152.880,165.434,161.737,167.412,173.689,178.590,186.156,189.854,180.310,184.437,193.637,217.541,206.105,210.318,204.041,184.437,188.822,185.985,171.453,174.463,185.555,201.032,200.000,189.080
industry sector - mining and quarrying - energy use,50.731,43.852,42.992,44.712,44.712,43.680,44.540,44.970,45.314,45.830,48.495,47.979,50.301,50.817,52.794,54.256,57.610,65.090,69.819,66.638,80.911,94.067,115.219,122.270,126.483,133.190,160.877,125.279,124.334,123.560,127.171
industry sector - non-ferrous metals - energy use,126.569,124.850,127.687,138.005,142.906,123.646,132.244,134.136,147.979,154.256,151.419,132.072,142.648,162.339,177.386,161.135,172.313,174.205,164.144,143.336,164.058,152.966,159.587,164.488,164.230,159.157,159.071,162.941,166.208,168.530,168.616
industry sector - non-metallic minerals - energy use,73.947,70.077,67.068,57.180,58.040,57.954,58.555,65.090,69.046,73.345,75.150,77.902,79.880,80.997,84.351,84.351,89.682,87.618,84.179,63.113,67.068,73.517,67.412,65.950,60.103,56.750,61.135,70.507,69.304,68.100,61.909
industry sector - not elsewhere specified - energy use,57.438,33.104,31.986,40.241,34.996,109.114,113.156,135.856,105.073,134.652,135.856,159.587,162.769,154.428,163.972,164.402,163.371,125.537,146.690,42.218,133.276,54.084,82.803,65.434,65.950,64.402,67.068,86.071,81.771,81.685,81.771
