Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"25,987.102","27,632.158","28,403.009","28,598.280","29,019.175","29,479.794","30,596.217","30,563.887","31,593.895","32,240.671","33,095.701","34,030.696","33,833.706","35,116.079","36,127.257","36,351.763","36,708.942","36,630.696","37,208.598","35,937.661","38,184.781","36,499.759","38,159.699","38,772.003","36,578.005","37,405.988","38,069.076","37,778.625","37,584.029","37,119.931","35,370.543"
industry sector - chemical and petrochemical - energy use,"2,303.611","2,341.445","2,444.196","2,486.672","2,077.386","2,066.552","2,104.729","2,188.478","2,221.410","2,156.922","2,212.812","2,158.727","2,127.085","2,026.311","2,066.638","2,143.766","2,125.537","2,136.199","2,640.069","2,283.663","2,376.612","1,663.218","1,621.046","1,610.095","1,665.243","1,640.141","1,641.180","1,675.100","1,649.868","1,689.312","1,632.737"
industry sector - construction - energy use,180.224,194.583,172.657,164.918,136.801,140.929,136.371,132.588,131.642,129.923,128.633,131.814,125.279,136.457,141.874,149.183,159.845,168.186,218.315,163.285,186.500,370.834,386.927,386.395,344.231,333.073,335.424,332.644,341.496,355.763,330.767
"industry sector - food, beverages and tobacco - energy use","1,186.328","1,255.546","1,303.611","1,309.372","1,340.929","1,399.914","1,397.506","1,450.129","1,439.381","1,477.730","1,521.926","1,585.899","1,627.773","1,684.867","1,655.976","1,698.022","1,728.289","1,744.970","1,752.365","1,727.171","1,728.461","1,856.769","1,943.105","1,935.242","1,927.337","1,928.164","1,961.106","1,900.826","2,000.169","1,981.556","1,900.618"
industry sector - iron and steel - energy use,"1,001.118","1,007.051","1,020.636",999.140,"1,218.745","1,251.763","1,256.836","1,353.310","1,358.813","1,314.187","1,474.807","1,437.145","1,389.682","1,338.005","1,406.879","1,342.304","1,369.218","1,363.801","1,022.958",758.469,878.504,"1,252.515","1,242.998","1,224.049","1,245.571","1,190.746","1,215.128","1,172.899","1,192.277","1,097.537",853.399
industry sector - machinery - energy use,"1,172.227","1,219.862","1,235.426","1,200.946","1,200.516","1,277.386","1,306.707","1,347.549","1,398.280","1,426.655","1,274.807","1,260.361","1,246.518","1,188.822","1,187.876","1,024.678","1,168.272","1,166.982","1,487.446","1,260.705","1,370.249","1,135.695","1,128.973","1,124.222","1,077.029","1,072.877","1,076.710","1,075.109","1,067.750","1,047.275",928.017
industry sector - mining and quarrying - energy use,314.961,304.471,283.233,257.782,87.188,90.284,84.265,83.147,74.291,65.950,162.167,154.514,151.849,143.422,146.346,142.132,139.639,142.562,58.469,47.463,49.441,152.975,152.385,152.858,149.701,143.527,139.657,142.738,141.038,134.109,129.221
industry sector - non-ferrous metals - energy use,906.191,837.661,988.564,987.102,729.149,711.436,725.279,741.187,774.205,810.060,834.136,866.724,877.988,852.880,876.784,845.486,820.980,798.538,679.450,614.961,642.132,678.170,664.534,654.966,691.610,728.916,737.586,745.481,687.275,695.806,686.207
industry sector - non-metallic minerals - energy use,547.120,547.206,543.594,545.142,732.674,757.954,755.030,754.944,765.262,831.212,698.538,720.034,735.168,737.919,774.979,759.415,774.291,766.810,860.705,744.970,788.822,741.874,726.489,714.587,695.853,681.015,700.310,704.936,706.739,715.646,649.867
industry sector - not elsewhere specified - energy use,48.151,82.803,56.836,71.539,500.086,521.324,538.091,429.579,630.610,655.288,850.817,916.423,838.177,"1,093.207","1,176.526","1,606.965","1,045.830",940.843,298.452,267.928,291.745,657.448,721.212,718.691,682.398,693.220,714.934,715.508,685.453,687.902,614.112
"industry sector - paper, pulp and printing - energy use",806.965,853.482,920.722,965.606,"1,000.430",986.672,955.202,"1,016.681","1,014.789","1,016.165","1,177.386","1,146.776","1,170.851","1,142.562","1,149.441","1,159.931","1,124.334","1,102.494",909.716,778.418,791.402,862.973,828.593,776.907,746.891,709.291,705.549,686.035,681.423,646.233,578.924
industry sector - textile and leather - energy use,364.660,360.533,360.619,342.218,329.923,333.448,327.515,333.620,335.598,314.789,312.124,293.895,270.937,252.966,242.906,220.722,206.191,195.271,177.902,147.377,151.161,145.456,144.430,139.222,136.637,130.179,132.973,131.947,131.712,125.630,109.395
