Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780.224,841.445,851.763,901.720,963.758,1 026.423,1 036.913,987.042
industry sector - chemical and petrochemical - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.881,17.025,27.257,22.528,24.385,27.713,29.407,25.615
industry sector - construction - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.481,31.986,11.092,11.350,12.511,10.000,10.679,10.129
"industry sector - food, beverages and tobacco - energy use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.305,16.767,16.939,17.885,21.333,21.126,22.098,21.195
industry sector - iron and steel - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.678,124.334,107.481,123.388,158.246,164.351,156.397,149.570
industry sector - machinery - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430,0.946,1.118,0.430,0.499,0.800,1.187,1.230
industry sector - mining and quarrying - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,7.911,10.060,11.264,10.817,10.593,10.834,10.886
industry sector - non-ferrous metals - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - non-metallic minerals - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.980,19.089,24.076,27.429,25.322,22.012,25.417,26.217
industry sector - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666,21.496,35.254,32.072,26.354,24.196,19.966,20.886
"industry sector - paper, pulp and printing - energy use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946,1.118,1.290,1.290,1.453,1.341,1.522,1.204
industry sector - textile and leather - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0.602,1.118,1.032,1.496,1.341,1.066,0.894
industry sector - transport equipment - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860,0.602,0.430,0.258,0.181,0.138,0.593,0.525
industry sector - wood and wood products - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.344,0.430,0.602,0.679,0.628,0.525,0.473
other sectors - agriculture and forestry - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.923,2.666,4.901,4.557,5.408,6.827,6.956,7.206
other sectors - commercial and public services - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.152,220.722,218.831,247.807,262.416,325.107,325.520,250.645
other sectors - fishing - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.809,211.952,211.694,208.340,211.599,213.586,211.608,220.550
other sectors - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.005,140.929,154.514,165.692,172.124,165.236,177.120,219.467
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.241,0.447,0.378
transport sector - pipeline transport - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.576,1.917,1.711
transport sector - rail - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.248,22.958,25.279,25.795,28.934,30.610,33.654,18.263
transport sector - road - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
