Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,39 129.751,39 150.731,38 772.657,38 354.772,38 140.413,38 796.991,39 411.694,39 701.376,40 079.708,40 712.038,41 569.475,42 585.297,43 723.818,44 273.689,44 851.333,44 918.917,45 411.522,45 531.642,45 379.364,42 776.612,45 745.744,45 131.298,45 100.946,44 910.576,44 003.181,44 277.558,44 501.634,44 621.926,43 800.000,42 692.605,41 256.578
industry sector - chemical and petrochemical - energy use,5 373.689,4 131.556,4 634.480,4 952.279,4 809.716,4 499.226,4 383.577,4 594.927,4 565.004,4 398.194,4 156.148,4 283.749,4 315.133,4 386.242,4 373.775,4 544.884,4 500.000,4 591.574,4 447.807,3 857.524,4 500.172,4 516.079,4 484.179,4 447.893,4 599.054,4 597.163,4 606.793,4 661.995,4 605.847,4 532.072,4 396.303
industry sector - construction - energy use,60.533,58.298,98.108,96.647,91.058,94.583,94.153,79.278,82.717,65.864,69.819,71.969,71.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,341.788,380.825,374.291,307.911,351.591,339.209,341.874,355.632,400.430,414.273,425.881
"industry sector - food, beverages and tobacco - energy use",1 036.371,1 084.867,1 129.579,1 094.669,985.211,1 171.969,1 165.606,1 166.036,1 193.035,1 214.101,1 263.887,1 302.666,1 372.055,1 425.795,1 410.576,1 453.654,1 484.609,1 480.052,1 549.011,1 533.276,1 506.879,1 527.945,1 546.088,1 532.330,1 554.084,1 564.402,1 592.605,1 602.666,1 630.439,1 605.933,1 584.437
industry sector - iron and steel - energy use,2 352.966,2 310.576,2 180.482,1 757.094,1 689.854,1 977.214,1 925.967,2 072.141,1 994.927,1 899.914,2 033.878,2 096.303,2 155.632,2 255.632,2 357.954,2 377.816,2 568.874,2 457.524,2 438.263,1 925.451,2 329.579,2 426.483,2 310.662,2 247.979,2 263.199,2 241.015,2 326.913,2 295.357,2 264.918,2 095.615,1 909.114
industry sector - machinery - energy use,1 073.689,654.686,707.137,750.903,588.220,629.751,730.954,729.751,836.371,836.629,880.052,907.051,895.529,2 112.898,2 093.465,2 088.822,2 187.274,2 283.663,3 142.476,2 512.640,2 829.751,3 126.483,3 134.308,3 198.796,3 379.450,2 873.689,2 877.558,2 915.563,2 925.193,2 831.728,2 551.161
industry sector - mining and quarrying - energy use,554.858,341.187,439.725,460.275,307.997,247.034,233.018,176.784,172.141,178.504,176.784,182.201,179.880,166.122,169.046,163.543,165.692,168.702,204.041,180.653,185.555,165.090,154.772,150.215,152.021,149.613,153.310,152.021,152.537,153.826,149.355
industry sector - non-ferrous metals - energy use,1 707.481,1 637.059,1 529.837,1 847.635,1 853.740,1 442.734,1 443.938,1 479.880,1 542.820,1 561.995,1 590.886,1 639.725,1 618.831,1 530.095,1 561.737,1 538.865,1 368.874,1 424.162,1 487.446,952.709,1 173.259,1 139.725,1 095.873,1 106.105,1 153.740,1 364.660,1 373.947,1 399.484,1 357.266,1 312.554,1 296.131
industry sector - non-metallic minerals - energy use,996.733,1 123.216,1 212.210,909.802,772.227,1 278.246,1 290.198,1 279.622,1 279.020,1 275.580,1 274.807,1 313.929,1 297.248,1 076.096,1 095.701,1 071.281,1 099.828,1 218.229,1 100.860,999.828,1 051.935,1 110.748,1 055.460,1 051.591,1 042.132,1 057.266,1 059.157,1 096.389,1 092.089,1 074.119,1 046.776
industry sector - not elsewhere specified - energy use,1 914.961,4 009.200,2 740.155,2 115.047,2 965.348,2 464.832,2 338.005,2 352.966,2 330.181,2 874.205,2 528.891,2 704.643,2 768.616,1 868.444,1 980.739,1 917.025,2 062.339,2 306.707,1 526.225,1 402.837,1 504.815,1 523.560,1 511.436,1 488.650,1 491.144,1 482.459,1 515.391,1 517.885,1 506.019,1 456.234,1 383.491
