Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,2 448.065,2 522.098,2 639.811,2 680.911,2 811.952,2 930.954,3 057.954,3 199.742,3 380.224,3 492.433,3 710.318,3 829.923,4 006.793,4 180.997,4 276.698,4 376.956,4 516.165,4 745.486,4 870.679,4 704.471,4 567.498,4 453.482,4 472.657,4 195.271,4 256.234,4 366.896,4 588.392,4 640.535,4 253.667,4 316.191,4 086.790
industry sector - chemical and petrochemical - energy use,118.745,104.385,90.284,83.233,82.201,90.972,98.882,99.914,107.137,104.987,104.213,94.067,99.226,53.912,45.056,48.925,45.486,8.426,65.606,62.683,45.314,40.155,53.740,51.591,56.750,55.288,15.821,57.499,80.515,39.102,41.091
industry sector - construction - energy use,1.118,1.376,1.720,3.267,4.815,5.159,4.729,5.245,5.245,6.793,6.621,7.825,8.426,2.837,0.172,0.430,0.516,0.602,0.602,0.086,0.086,0.086,0.086,0.086,0.086,0.000,0.172,42.711,40.254,51.182,50.294
"industry sector - food, beverages and tobacco - energy use",61.049,63.629,68.530,70.507,76.870,80.997,84.609,87.446,89.510,95.185,104.041,105.847,110.490,161.221,163.285,163.027,172.485,192.777,191.745,187.790,185.297,230.095,190.026,181.685,187.016,159.243,120.464,89.240,130.970,147.661,155.487
industry sector - iron and steel - energy use,86.156,80.138,70.593,70.851,67.498,73.603,63.801,71.625,74.635,70.593,83.835,94.669,121.754,133.276,129.493,144.712,152.709,170.679,145.572,121.496,111.952,120.206,79.020,65.434,66.810,60.705,74.807,86.071,91.402,104.408,109.599
industry sector - machinery - energy use,35.082,34.824,32.158,35.168,36.285,39.037,41.187,43.164,46.776,50.387,52.794,52.537,54.686,75.580,48.237,48.667,51.849,57.954,58.469,4.385,12.038,40.843,16.423,17.627,17.025,15.047,12.984,36.548,47.676,69.401,60.734
industry sector - mining and quarrying - energy use,24.248,18.401,19.862,21.754,23.130,23.474,24.162,24.506,23.818,24.162,23.732,23.216,23.732,7.653,25.279,22.700,27.429,30.696,31.040,23.474,13.500,3.525,3.181,3.353,3.439,2.494,1.720,5.410,17.623,16.372,20.357
industry sector - non-ferrous metals - energy use,285.039,280.482,294.411,265.434,278.590,276.440,275.408,283.749,296.303,302.666,331.986,335.168,337.833,322.614,364.316,396.819,353.482,395.013,340.155,348.323,463.972,366.466,399.312,404.987,404.987,410.146,375.408,392.995,418.508,351.075,316.337
industry sector - non-metallic minerals - energy use,153.310,155.374,154.944,154.858,156.320,163.887,166.466,167.412,173.345,170.163,177.816,177.386,176.182,178.160,192.605,206.965,198.710,222.012,193.035,153.396,147.206,91.660,81.857,93.809,94.411,85.297,77.214,86.985,100.004,99.758,93.766
industry sector - not elsewhere specified - energy use,118.229,134.652,131.814,123.130,126.827,129.235,129.407,138.349,144.884,135.856,123.130,137.145,131.298,109.114,65.950,65.864,70.335,78.590,143.508,172.227,102.408,229.493,68.702,66.036,191.745,220.722,239.037,210.565,18.818,65.453,67.816
"industry sector - paper, pulp and printing - energy use",43.422,40.499,40.327,39.639,42.476,45.916,44.024,39.381,38.177,40.843,44.024,42.218,40.671,49.527,50.215,46.690,50.129,56.062,52.709,49.871,55.116,34.566,46.174,45.228,47.120,42.820,17.799,18.192,17.520,39.928,37.068
industry sector - textile and leather - energy use,92.175,85.813,81.857,84.093,82.975,83.749,84.867,84.437,84.265,81.771,85.641,85.641,82.975,87.102,80.911,65.262,63.543,71.023,72.399,52.623,52.709,46.862,27.515,25.623,16.939,17.455,26.913,19.769,74.806,59.124,52.555
industry sector - transport equipment - energy use,14.101,14.617,13.758,14.015,14.015,14.875,14.273,13.844,14.531,14.445,15.133,14.961,14.789,14.875,13.672,10.748,10.146,11.350,13.414,13.758,7.309,28.375,11.866,10.060,9.028,9.028,3.353,4.588,6.425,6.225,5.885
industry sector - wood and wood products - energy use,8.512,8.684,9.716,10.232,9.888,10.146,10.920,11.178,11.264,11.350,11.866,12.640,12.898,21.324,23.474,19.003,20.378,22.786,23.216,19.433,19.089,26.483,17.197,11.780,11.178,11.006,4.643,5.659,22.850,8.593,8.534
other sectors - agriculture and forestry - energy use,133.964,113.500,139.553,175.408,179.278,171.195,189.080,204.901,223.388,219.518,250.215,239.037,213.500,239.295,239.811,252.107,233.620,247.721,266.982,216.165,229.149,215.219,234.480,232.502,196.303,194.927,206.707,225.799,194.689,204.451,205.279
other sectors - commercial and public services - energy use,481.943,514.101,566.638,617.369,678.934,719.948,758.899,842.046,932.072,987.360,1 054.170,1 138.435,1 202.837,1 290.198,1 364.746,1 416.939,1 526.827,1 614.187,1 693.121,1 699.828,1 547.721,1 447.893,1 588.134,1 462.425,1 444.712,1 541.359,1 672.227,1 654.638,1 531.191,1 540.380,1 342.392
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.708,1.440,1.051
other sectors - households - energy use,780.224,861.049,912.468,901.204,939.983,989.510,1 053.568,1 068.186,1 099.398,1 159.415,1 221.582,1 250.731,1 356.406,1 413.929,1 449.011,1 450.989,1 519.862,1 544.024,1 558.555,1 558.985,1 558.899,1 515.735,1 638.693,1 500.086,1 474.721,1 507.997,1 719.433,1 687.691,1 441.325,1 494.199,1 503.543
