Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"2,716.509","2,538.607","2,436.113","2,339.123","2,371.797","2,385.555","2,466.380","2,479.622","2,491.316","2,488.306","2,531.470","2,626.397","2,707.223","2,699.570","2,735.856","2,780.567","2,857.954","2,901.462","2,951.591","2,850.387","2,941.273","2,969.905","3,009.802","2,998.538","2,986.844","3,120.464","3,194.497","3,309.802","3,389.338","3,458.469","3,434.050"
industry sector - chemical and petrochemical - energy use,296.389,236.887,241.015,245.744,189.166,193.293,222.614,202.580,206.449,248.839,241.015,262.855,262.081,176.268,180.739,182.889,206.965,226.999,233.964,186.071,199.054,201.032,243.164,262.253,274.893,281.771,281.255,289.940,286.500,291.574,298.710
industry sector - construction - energy use,17.283,10.404,8.426,7.309,4.901,14.789,3.525,4.213,2.666,1.978,2.322,3.439,4.987,7.653,4.815,6.363,6.277,5.761,6.707,6.707,9.888,9.974,38.435,28.117,22.442,24.764,27.773,28.891,40.585,45.314,44.540
"industry sector - food, beverages and tobacco - energy use",140.585,118.573,114.703,99.140,104.729,106.535,101.118,125.537,102.236,94.927,93.895,119.433,120.636,132.244,117.111,106.019,107.223,102.236,107.653,105.073,116.939,118.057,204.987,193.895,179.364,192.691,204.127,210.920,216.337,234.738,233.878
industry sector - iron and steel - energy use,150.129,112.468,85.727,81.685,57.352,62.253,71.625,76.526,50.903,48.237,49.785,55.374,58.899,55.460,50.989,65.262,67.068,63.457,64.660,37.317,44.454,44.884,46.776,49.785,50.903,52.709,52.709,59.157,62.941,60.533,55.116
industry sector - machinery - energy use,126.397,89.854,54.170,52.279,72.657,69.390,76.956,88.048,44.798,47.463,49.613,62.683,71.969,75.752,87.360,107.825,106.191,108.083,112.554,111.092,132.760,134.050,215.477,207.223,212.296,213.070,221.324,236.543,242.390,246.260,261.479
industry sector - mining and quarrying - energy use,26.655,19.862,23.130,24.850,25.709,23.646,24.076,18.487,5.417,4.987,8.512,3.439,3.525,8.856,5.847,6.535,6.019,5.503,4.729,5.503,4.815,4.901,7.911,14.015,7.481,8.426,8.255,8.598,10.060,11.436,9.286
industry sector - non-ferrous metals - energy use,152.537,114.273,87.188,83.061,73.345,78.934,72.829,78.590,81.599,72.141,85.039,44.196,93.293,90.542,90.972,77.902,43.680,40.413,40.069,31.126,37.059,37.403,43.508,40.413,33.448,33.104,34.480,36.887,37.661,36.199,31.642
industry sector - non-metallic minerals - energy use,98.452,73.345,58.727,61.135,46.002,48.495,58.899,61.565,78.418,78.246,74.893,83.491,84.007,83.061,83.491,78.504,80.653,80.567,96.475,79.020,80.138,80.911,101.806,89.682,103.439,115.047,124.592,120.894,121.840,127.085,124.850
industry sector - not elsewhere specified - energy use,4.471,8.083,4.471,3.697,3.267,3.009,2.408,2.236,40.069,42.992,50.731,56.750,59.329,63.371,55.718,22.442,33.964,33.964,38.693,54.858,63.715,64.316,143.594,151.075,146.776,156.492,161.995,175.064,182.115,189.854,187.360
"industry sector - paper, pulp and printing - energy use",48.323,37.661,35.512,33.620,36.801,34.996,31.126,30.009,42.820,41.187,43.852,40.069,38.779,42.132,43.938,49.785,48.151,41.702,38.951,34.222,48.151,48.581,66.466,67.842,68.616,71.281,72.485,76.182,76.698,78.246,75.838
industry sector - textile and leather - energy use,71.539,53.568,36.199,31.556,48.495,41.531,25.193,22.872,22.700,19.347,19.604,21.840,21.410,18.487,18.229,15.993,12.468,11.608,10.232,8.169,11.436,11.522,20.636,16.681,16.853,18.831,20.550,19.433,20.980,20.292,17.541
