Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,336.199,330.782,330.181,348.495,358.727,366.208,369.390,405.159,473.001,548.839,594.239,620.120,648.667,648.409,667.240,670.593,773.689,936.028,1 310.490,1 346.432,1 350.559,1 376.612,1 406.449,1 446.518,1 447.120,1 502.150,1 487.790,1 538.412,1 589.626,1 567.223,1 536.439
industry sector - chemical and petrochemical - energy use,19.261,14.875,16.251,17.541,12.554,12.124,12.038,12.640,10.576,11.780,9.286,7.481,2.494,1.720,1.720,1.634,1.720,4.299,3.181,3.353,3.697,3.955,4.901,3.353,5.675,6.965,7.481,7.246,8.283,8.175,9.179
industry sector - construction - energy use,1.720,1.462,1.462,1.548,1.720,1.376,1.032,0.946,1.032,0.860,1.118,1.720,2.408,1.462,5.675,9.630,13.500,11.436,6.277,3.439,1.720,1.892,2.494,2.408,2.322,2.837,3.267,3.291,3.265,3.322,2.772
"industry sector - food, beverages and tobacco - energy use",15.047,16.853,17.541,17.713,23.646,26.999,32.588,33.104,31.642,31.126,33.706,33.534,36.801,41.101,40.069,38.005,37.231,33.792,34.824,35.254,35.082,37.231,42.906,45.744,44.712,53.482,42.390,49.430,53.772,45.488,44.718
industry sector - iron and steel - energy use,48.667,41.531,43.078,52.966,51.419,54.772,55.288,55.116,48.753,57.954,84.609,85.813,89.338,90.284,88.650,84.351,84.523,86.500,76.354,77.214,80.224,81.427,88.994,91.660,84.695,89.940,89.854,87.077,87.186,77.451,80.086
industry sector - machinery - energy use,0.000,0.258,0.258,0.258,0.258,0.344,0.344,0.344,0.430,0.430,0.516,0.516,0.774,0.688,0.774,0.946,0.860,0.946,0.946,0.774,0.860,0.860,0.946,0.946,0.860,0.860,0.946,0.935,0.933,0.889,0.846
industry sector - mining and quarrying - energy use,0.172,0.172,0.086,0.430,1.204,0.344,1.118,1.118,1.204,1.204,1.204,1.290,1.204,1.290,0.946,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.172,0.258,0.162,0.349,0.348,0.359
industry sector - non-ferrous metals - energy use,124.248,127.687,128.547,132.072,135.340,140.069,144.454,176.182,240.327,300.086,309.974,334.222,358.555,359.415,361.307,362.081,454.600,611.522,993.207,1 034.480,1 033.620,1 061.307,1 075.494,1 110.748,1 116.165,1 140.413,1 123.990,1 160.019,1 162.945,1 114.758,1 108.683
industry sector - non-metallic minerals - energy use,2.923,3.611,3.439,3.181,3.869,4.213,3.009,3.267,3.353,3.611,3.869,3.783,2.752,2.666,3.525,3.869,3.611,4.385,4.041,2.666,1.978,2.236,1.892,2.064,1.978,2.408,3.869,10.662,15.200,28.118,18.211
industry sector - not elsewhere specified - energy use,4.127,1.806,0.430,0.602,0.602,0.344,1.032,1.118,1.204,1.290,1.634,1.720,2.064,2.064,2.150,2.236,2.150,1.290,1.118,1.118,1.032,0.946,0.860,2.666,3.697,1.376,1.548,2.027,1.046,1.056,0.996
"industry sector - paper, pulp and printing - energy use",1.720,1.204,1.376,1.032,1.548,1.548,1.634,1.634,1.720,1.720,1.634,1.548,1.376,1.290,1.462,1.376,1.634,1.806,1.462,1.548,1.462,1.548,1.462,1.462,1.376,1.376,1.376,1.315,0.965,0.693,0.625
industry sector - textile and leather - energy use,2.150,1.892,1.720,1.634,1.548,1.548,1.720,1.548,1.462,1.118,1.634,1.634,1.548,1.376,1.376,1.118,0.344,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.172,0.172,0.258,0.226,0.279,0.204,0.154
industry sector - transport equipment - energy use,0.000,0.602,0.602,0.602,0.516,0.602,0.774,0.860,0.774,0.688,0.688,0.688,0.688,0.516,0.516,0.430,0.430,0.430,0.430,0.430,0.344,0.344,0.430,0.430,0.430,0.516,0.430,0.451,0.401,0.416,0.404
industry sector - wood and wood products - energy use,0.000,0.688,0.688,0.602,0.516,0.516,0.602,0.602,0.688,0.688,0.688,0.602,0.602,0.602,0.602,0.602,0.430,0.430,0.430,0.344,0.258,0.344,0.344,0.258,0.258,0.344,0.344,0.329,0.268,0.258,0.239
other sectors - agriculture and forestry - energy use,17.455,19.261,19.003,19.175,18.229,19.261,18.401,18.831,18.573,18.745,19.089,19.089,17.541,17.111,18.143,17.541,18.659,19.261,19.261,18.745,18.745,18.917,19.175,19.003,19.604,19.604,20.464,19.326,20.562,19.898,19.821
