Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"1,020.464","1,071.797","1,135.598","1,165.348","1,217.025","1,276.956","1,363.113","1,437.317","1,521.754","1,621.152","1,744.454","1,807.738","1,871.711","1,980.395","1,982.522","2,093.895","2,225.061","2,223.764","2,293.623","2,172.805","2,183.969","2,138.847","2,135.029","2,137.716","2,133.661","2,217.422","2,267.989","2,290.319","2,396.989","2,444.009","2,463.115"
industry sector - chemical and petrochemical - energy use,33.369,64.283,67.780,70.118,74.582,80.190,86.096,92.240,99.024,101.495,108.011,109.164,105.143,99.917,84.912,96.068,94.596,92.719,97.770,105.477,94.748,84.143,82.322,86.818,88.913,98.434,98.126,97.683,96.774,98.195,91.911
industry sector - construction - energy use,24.505,26.035,27.566,29.096,30.627,32.157,33.688,35.218,36.748,38.279,39.809,41.157,42.014,44.401,55.678,61.180,63.567,55.022,38.935,24.560,17.254,14.375,14.029,16.341,18.703,17.914,19.420,21.217,23.404,24.736,22.464
"industry sector - food, beverages and tobacco - energy use",98.645,87.472,92.231,95.412,101.486,109.118,117.154,125.515,134.745,138.108,146.974,148.509,152.553,155.205,141.827,126.847,124.185,111.969,109.490,120.938,114.490,122.126,125.702,118.194,133.261,131.015,130.104,140.329,133.992,135.960,127.259
industry sector - iron and steel - energy use,20.378,17.627,17.713,19.776,16.165,20.120,21.668,24.248,25.967,26.655,28.289,12.898,1.892,1.032,1.032,1.032,1.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - machinery - energy use,38.401,66.197,69.799,72.206,76.802,82.578,88.660,94.987,101.972,104.517,111.227,113.108,116.616,119.076,109.204,118.283,132.348,95.464,95.337,71.189,62.692,63.965,58.576,62.718,74.587,87.053,92.110,93.129,92.886,94.113,88.090
industry sector - mining and quarrying - energy use,7.936,22.118,23.322,24.126,25.662,27.592,29.624,31.738,34.072,34.922,37.164,36.571,42.190,47.587,47.710,44.749,44.633,45.426,41.667,34.584,33.348,33.095,30.179,28.621,27.270,17.302,20.127,17.358,16.614,15.948,14.927
industry sector - non-ferrous metals - energy use,52.072,25.621,27.015,27.947,29.726,31.961,34.315,36.764,39.468,40.453,43.050,36.096,37.593,38.765,35.893,37.511,13.894,39.214,41.386,32.925,37.551,41.510,38.773,41.064,42.480,41.510,43.401,46.655,45.117,45.779,42.849
industry sector - non-metallic minerals - energy use,29.214,28.237,29.773,30.799,32.760,35.224,37.818,40.517,43.497,44.582,47.444,45.727,47.580,49.022,45.353,57.107,65.775,63.682,58.017,44.230,34.475,34.480,30.399,31.256,43.163,46.121,50.159,51.088,58.337,59.194,55.406
industry sector - not elsewhere specified - energy use,41.606,13.150,14.738,13.794,19.542,18.272,19.552,19.914,21.442,21.937,23.423,36.210,49.141,51.481,47.491,45.020,55.705,72.474,75.981,64.559,60.576,66.476,62.513,70.017,88.473,76.475,84.200,75.229,92.913,85.614,80.135
"industry sector - paper, pulp and printing - energy use",8.721,15.197,16.024,16.576,17.631,18.957,20.354,21.806,23.410,23.994,25.534,25.296,26.767,28.022,26.322,21.148,19.757,12.825,12.443,9.865,7.932,11.300,9.364,9.913,10.103,8.275,9.586,10.063,10.728,10.885,10.188
industry sector - textile and leather - energy use,17.908,9.795,10.328,10.684,11.365,12.219,13.119,14.055,15.089,15.466,16.458,14.418,12.320,10.021,6.881,7.015,6.570,5.722,5.180,4.350,2.523,2.516,2.055,2.833,5.155,3.773,4.657,4.620,2.471,2.507,2.347
industry sector - transport equipment - energy use,3.772,5.706,6.017,6.224,6.621,7.119,7.643,8.188,8.790,9.010,9.588,9.379,9.167,8.856,7.666,8.212,8.928,4.747,6.655,4.506,2.592,3.034,2.762,3.125,2.931,2.683,2.569,2.141,2.804,2.845,2.663
industry sector - wood and wood products - energy use,9.114,16.325,17.213,17.807,18.940,20.365,21.865,23.425,25.148,25.775,27.430,26.874,27.318,27.503,24.869,25.337,25.199,26.178,21.353,21.006,19.358,19.375,20.393,19.955,24.576,19.172,20.035,24.832,20.689,20.993,19.650
other sectors - agriculture and forestry - energy use,36.973,38.005,39.983,41.015,41.960,42.992,44.970,47.034,49.957,46.002,49.011,52.021,52.021,52.021,52.279,55.317,52.734,48.220,48.272,47.979,47.979,47.979,47.979,47.979,47.979,47.979,47.979,47.979,47.979,46.785,46.785
other sectors - commercial and public services - energy use,240.327,260.447,278.590,285.297,296.303,310.060,336.199,361.823,386.500,431.126,480.653,519.572,581.727,646.542,659.420,738.123,816.282,852.430,903.413,884.317,909.712,878.322,907.838,911.848,860.189,938.319,964.369,969.100,"1,044.091","1,094.360","1,099.505"
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,356.148,374.119,396.045,402.923,415.305,426.483,448.753,457.868,473.861,516.681,548.151,578.504,565.692,598.968,631.642,645.881,694.989,693.288,733.074,698.467,734.821,712.229,698.234,683.383,662.407,677.623,676.934,684.352,702.818,699.308,751.330
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,1.376,1.462,1.462,1.548,1.548,1.548,1.634,1.978,2.064,2.150,2.236,2.236,1.978,1.978,4.342,5.064,4.867,4.384,4.651,3.853,3.918,3.902,3.868,3.596,3.358,3.529,3.834,3.902,4.307,4.457,4.147
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.042,0.056,0.112,0.241,0.379,0.640,1.065,2.331,3.460
