Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"18,454.600","18,868.186","19,216.337","19,291.745","19,909.888","20,487.704","20,695.959","21,341.788","21,939.811","22,479.192","23,471.625","23,879.966","24,312.210","25,058.985","25,411.092","25,871.023","26,550.043","26,596.561","26,596.475","24,936.887","25,736.285","25,952.537","25,515.219","24,711.780","24,204.471","24,719.089","24,593.895","25,104.499","25,200.436","25,101.693","23,662.955"
industry sector - chemical and petrochemical - energy use,"1,704.557","1,660.447","1,627.601","1,611.866","1,647.979","1,706.191","1,709.114","1,744.110","1,753.568","1,793.981","1,887.016","1,824.936","1,739.983","1,729.149","1,670.765","1,634.996","1,619.776","1,564.230","1,506.879","1,254.600","1,336.285","1,297.077","1,278.074","1,276.268","1,221.238","1,200.430","1,196.131","1,228.169","1,243.646","1,174.688","1,189.435"
industry sector - construction - energy use,82.631,89.338,96.991,92.777,85.125,101.204,94.669,89.768,90.456,98.280,106.019,104.213,113.929,129.751,138.263,146.948,150.903,154.514,162.339,155.460,150.645,141.015,124.334,110.920,107.567,116.509,116.337,119.174,122.054,157.076,157.490
"industry sector - food, beverages and tobacco - energy use",644.712,668.444,716.595,717.025,737.145,822.958,854.256,876.010,920.894,960.619,"1,001.204","1,035.598","1,062.769","1,077.816","1,092.175","1,118.143","1,104.299","1,105.331","1,102.837","1,079.794","1,099.570","1,084.867","1,036.973","1,027.773","1,029.407","1,044.540","1,046.432","1,067.297","1,077.622","1,157.043","1,231.780"
industry sector - iron and steel - energy use,"1,668.874","1,631.814","1,616.681","1,598.366","1,604.299","1,688.822","1,542.820","1,588.048","1,618.487","1,578.246","1,749.441","1,792.433","1,716.767","1,709.974","1,723.560","1,753.654","1,864.832","1,863.801","1,859.415","1,352.623","1,605.761","1,774.721","1,700.086","1,573.517","1,578.246","1,499.484","1,570.249","1,610.032","1,625.836","1,628.076","1,426.700"
industry sector - machinery - energy use,"1,214.015","1,233.276","1,256.320","1,250.301","1,350.387","1,388.048","1,429.751","1,512.296","1,607.051","1,646.346","1,758.469","1,792.089","1,859.931","1,919.862","1,980.825","2,024.936","2,070.163","2,046.604","1,988.736","1,642.734","1,834.566","1,856.406","1,740.413","1,701.376","1,679.364","1,714.875","1,730.696","1,796.086","1,817.547","1,860.693","1,762.139"
industry sector - mining and quarrying - energy use,108.770,108.942,110.146,101.806,100.172,89.424,88.736,95.185,94.669,84.953,89.940,88.650,89.596,91.144,94.497,91.574,93.465,91.574,88.306,78.848,75.666,74.205,63.801,58.555,55.288,53.912,52.365,52.064,52.886,53.926,47.872
industry sector - non-ferrous metals - energy use,529.665,504.127,425.967,410.662,443.680,464.230,461.393,463.801,467.842,450.043,475.150,491.316,483.147,469.819,476.182,484.523,494.669,477.472,481.341,437.833,393.207,397.936,328.891,207.739,216.853,213.500,212.984,219.796,217.385,175.055,210.944
industry sector - non-metallic minerals - energy use,972.227,990.112,"1,014.617",963.027,965.176,"1,013.070","1,017.455","1,040.069","1,082.631","1,119.948","1,177.816","1,197.850","1,230.610","1,250.473","1,255.890","1,262.081","1,284.867","1,271.711","1,201.462","1,007.223","1,020.636",986.586,859.157,813.500,788.908,772.829,758.899,765.705,767.500,765.466,740.998
industry sector - not elsewhere specified - energy use,682.029,708.083,731.126,744.884,814.273,826.225,838.349,892.949,946.518,"1,280.911","1,345.744","1,358.040","1,409.286","1,457.438","1,458.727","1,465.606","1,517.455","1,586.071","1,515.649","1,382.975","1,432.330","1,429.751","1,396.819","1,334.738","1,300.344","1,309.114","1,302.322","1,333.579","1,322.723","1,521.779","1,567.382"
"industry sector - paper, pulp and printing - energy use",612.468,634.824,643.766,655.374,695.787,722.614,748.925,781.857,796.733,829.665,868.444,882.029,901.118,927.515,929.235,940.585,935.426,915.649,883.835,806.191,839.209,825.193,782.803,780.653,745.658,751.161,743.508,739.790,729.201,747.967,751.223
industry sector - textile and leather - energy use,840.327,837.489,854.600,835.598,892.175,902.837,911.178,955.116,960.533,937.403,985.383,995.787,950.817,906.019,841.617,784.093,768.358,723.130,650.731,532.846,544.626,521.410,474.893,459.415,450.301,449.871,443.078,444.049,440.220,453.887,385.580
industry sector - transport equipment - energy use,325.967,320.550,318.745,302.408,330.954,373.001,363.972,393.293,386.500,392.605,405.073,389.252,381.169,379.020,364.402,364.230,380.567,385.125,366.036,312.124,325.709,313.414,284.953,285.899,287.188,302.494,310.404,308.727,306.635,314.980,333.669
industry sector - wood and wood products - energy use,150.903,154.256,157.352,160.963,171.711,182.889,177.472,190.456,198.280,335.770,346.948,361.221,365.864,365.434,372.571,376.010,386.071,383.147,371.797,327.085,336.457,309.974,274.721,256.234,248.839,258.727,254.944,256.153,256.981,267.509,281.163
other sectors - agriculture and forestry - energy use,363.543,363.801,372.399,395.959,400.258,345.228,353.138,374.377,385.813,402.580,421.926,443.938,420.464,443.852,439.639,454.944,466.810,480.567,481.685,479.880,476.440,502.064,500.688,476.784,447.549,471.883,456.922,488.492,471.750,502.133,528.572
other sectors - commercial and public services - energy use,"3,441.702","3,654.858","3,862.425","3,984.695","4,137.145","4,272.399","4,419.433","4,618.315","4,821.582","4,634.394","4,866.294","5,093.379","5,402.408","5,797.592","6,015.047","6,352.107","6,711.694","6,867.154","7,117.197","7,248.495","7,361.909","7,473.087","7,762.597","7,651.075","7,608.684","7,917.885","7,887.876","8,038.859","8,124.660","7,671.185","6,471.131"
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.191,6.277,6.449,6.019,5.847,5.933,5.933,5.847,8.684,11.350,14.445,17.369,21.840,26.591,30.687,18.280,14.037
other sectors - households - energy use,"4,533.964","4,701.548","4,792.691","4,850.559","4,903.181","4,922.098","4,986.844","5,028.805","5,096.733","5,220.722","5,254.686","5,292.605","5,413.328","5,590.370","5,725.881","5,757.524","5,815.563","5,779.880","5,880.396","5,926.397","5,980.224","6,030.954","5,972.227","5,759.501","5,524.936","5,691.058","5,529.149","5,631.186","5,600.842","5,639.553","5,693.177"
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
