Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,715.391,688.994,545.486,406.793,378.504,383.921,355.460,360.361,387.360,383.577,384.953,394.067,419.776,447.206,464.660,492.605,528.203,568.014,569.905,524.764,534.394,532.330,588.822,565.434,565.950,555.546,557.352,557.579,572.841,570.637,560.942
industry sector - chemical and petrochemical - energy use,48.409,45.314,31.728,24.334,19.347,18.745,16.337,17.369,14.101,9.114,5.847,6.707,6.449,6.449,5.675,6.191,6.449,5.073,5.589,5.073,5.417,5.933,6.191,6.191,5.159,5.331,5.331,5.546,5.612,5.207,5.133
industry sector - construction - energy use,6.105,4.987,3.095,6.191,4.213,5.245,5.073,5.761,6.105,6.277,6.019,6.449,6.191,6.965,7.567,8.856,10.232,9.544,12.554,10.060,9.114,7.825,7.223,6.019,6.707,6.363,5.675,5.811,6.050,6.804,6.175
"industry sector - food, beverages and tobacco - energy use",30.868,30.095,34.136,24.162,22.012,24.420,23.990,28.203,27.429,26.311,25.795,26.741,26.483,26.913,25.623,27.343,27.773,30.181,29.751,24.248,25.107,25.193,22.184,27.515,24.076,23.904,23.818,24.780,24.433,23.971,24.153
industry sector - iron and steel - energy use,10.232,8.083,6.363,6.363,7.137,6.191,5.761,8.770,9.458,9.458,10.576,11.178,11.780,11.780,12.640,12.382,13.500,12.640,12.210,11.522,12.726,16.251,41.788,12.124,1.290,4.213,1.204,1.254,1.179,0.966,0.770
industry sector - machinery - energy use,52.193,46.432,27.773,16.337,14.961,14.703,15.477,14.875,12.984,11.092,11.350,14.445,11.952,12.468,13.156,13.500,13.844,12.038,11.694,7.395,8.255,9.286,9.458,9.974,9.286,7.997,8.340,7.668,7.897,7.561,7.418
industry sector - mining and quarrying - energy use,2.322,1.806,3.009,1.806,0.430,0.516,0.860,0.516,0.774,0.774,0.516,0.602,0.688,0.688,0.774,0.946,1.118,1.118,1.032,0.774,1.548,1.032,0.946,1.806,1.204,1.290,1.032,2.381,2.586,2.572,1.646
industry sector - non-ferrous metals - energy use,0.172,0.172,0.086,0.000,0.000,0.000,0.000,0.000,0.172,0.172,0.172,0.172,0.258,0.258,0.258,0.258,0.172,0.172,0.086,0.086,0.086,0.172,0.172,0.086,0.086,0.000,0.000,0.418,0.430,0.409,0.509
industry sector - non-metallic minerals - energy use,35.254,35.082,23.388,9.974,11.092,8.255,7.653,8.426,9.286,7.997,7.309,7.997,8.598,9.028,9.028,14.101,13.328,15.821,16.509,15.133,19.089,20.550,20.980,22.012,22.872,20.550,19.347,22.458,24.169,24.056,23.705
industry sector - not elsewhere specified - energy use,5.675,5.245,15.649,4.471,4.471,5.245,4.987,5.589,3.697,4.729,5.159,6.535,7.825,8.856,9.458,9.802,10.748,11.866,6.019,4.127,5.503,5.159,5.159,5.417,5.675,5.847,6.449,6.723,7.748,7.082,7.051
