Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"1,032.932","1,022.442",788.650,575.408,559.845,546.432,560.963,579.192,580.653,562.597,532.846,554.256,578.074,617.283,657.782,685.899,725.021,761.737,777.730,719.776,716.423,737.747,767.068,769.991,794.239,803.267,838.349,864.936,894.093,906.371,890.396
industry sector - chemical and petrochemical - energy use,86.586,87.618,56.234,25.365,32.416,42.906,44.626,50.559,44.024,39.983,38.779,38.693,43.594,47.377,47.635,51.419,57.696,67.068,63.285,53.654,58.469,66.208,67.498,62.769,64.488,61.307,64.144,71.488,69.192,69.381,71.109
industry sector - construction - energy use,22.184,17.799,17.283,17.283,8.169,6.965,6.277,5.589,12.554,11.006,9.114,8.255,8.426,8.770,9.372,10.060,10.576,11.264,11.178,8.856,9.114,8.770,8.598,9.286,8.770,12.296,12.726,11.926,13.508,12.794,12.588
"industry sector - food, beverages and tobacco - energy use",51.333,37.403,32.158,36.285,45.486,31.814,40.843,43.250,42.218,42.218,37.919,37.231,39.037,38.779,38.951,42.648,44.110,48.753,46.432,45.658,46.862,51.935,52.021,56.492,58.727,60.017,62.683,67.601,65.666,66.500,67.128
industry sector - iron and steel - energy use,0.602,2.236,4.213,4.557,3.783,3.525,3.955,5.331,4.643,4.901,4.557,4.643,3.439,2.923,2.752,2.494,2.150,3.095,1.634,1.892,1.634,1.806,2.064,1.806,1.720,1.634,1.634,1.642,1.427,0.997,0.911
industry sector - machinery - energy use,102.150,91.574,61.307,46.432,37.833,33.018,32.674,37.403,26.913,24.506,25.021,26.569,27.945,28.891,32.158,28.805,20.120,14.875,11.694,7.911,9.286,10.748,14.875,14.359,14.187,14.703,15.907,21.006,18.831,26.182,19.536
industry sector - mining and quarrying - energy use,6.019,5.417,3.869,2.580,2.408,1.892,1.806,2.580,2.923,2.494,2.236,1.978,2.580,2.752,3.009,3.181,3.439,3.869,3.611,1.978,2.064,2.494,2.150,2.322,2.236,2.322,2.494,2.657,2.631,3.336,3.818
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - non-metallic minerals - energy use,63.285,68.788,31.126,26.999,24.334,21.496,19.948,22.958,21.324,18.831,15.993,16.251,19.948,20.292,18.143,19.776,23.388,23.646,21.582,13.672,15.907,17.197,19.089,21.324,22.184,20.894,21.668,20.980,24.402,22.709,22.399
industry sector - not elsewhere specified - energy use,25.967,28.805,29.235,29.923,43.164,46.518,31.728,9.458,9.716,9.630,11.522,12.726,14.789,17.713,24.506,27.257,29.837,31.470,30.782,25.021,26.569,31.212,34.136,38.521,42.132,52.107,51.075,51.427,59.054,60.120,59.278
"industry sector - paper, pulp and printing - energy use",12.898,12.038,9.200,7.739,6.535,8.856,8.340,10.146,9.716,8.856,10.662,11.608,8.512,7.395,7.395,7.825,8.340,9.200,8.512,9.458,20.378,13.844,10.920,12.898,13.414,13.929,13.500,16.457,15.193,17.102,16.156
industry sector - textile and leather - energy use,46.776,47.979,38.779,30.181,25.967,25.537,31.470,33.964,33.964,29.493,26.225,26.569,27.601,27.085,25.107,21.668,22.872,21.324,13.586,17.541,13.758,12.640,13.328,12.898,12.468,13.586,14.445,14.033,13.663,12.966,11.402
industry sector - transport equipment - energy use,10.318,9.458,6.277,4.471,4.213,3.955,4.299,5.073,6.449,5.761,4.901,5.331,5.675,5.417,4.901,4.385,4.557,4.471,3.697,3.181,2.666,2.322,1.720,1.634,2.150,2.580,2.064,1.986,2.760,2.287,4.265
industry sector - wood and wood products - energy use,41.359,39.725,24.592,5.847,6.019,6.105,7.223,12.468,10.834,9.372,10.318,11.866,17.369,18.745,22.012,24.076,25.107,25.881,24.334,20.120,21.496,18.831,23.646,22.442,25.709,29.493,31.470,31.376,30.585,31.849,32.906
other sectors - agriculture and forestry - energy use,231.900,222.872,154.514,60.447,49.355,44.798,43.078,36.629,35.598,19.433,16.165,16.939,16.165,14.273,15.391,16.251,16.595,17.369,16.595,15.391,14.703,14.101,15.391,14.703,15.219,16.165,17.369,17.240,18.022,18.151,16.879
other sectors - commercial and public services - energy use,161.823,173.001,153.310,135.426,128.891,128.031,139.295,148.237,162.941,167.584,160.963,171.539,180.224,204.213,218.659,230.954,243.852,258.985,278.590,254.084,244.110,253.912,267.756,269.132,276.698,267.412,282.029,284.377,295.486,304.660,283.835
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.344,0.430,0.430,0.344,0.430,0.172,0.258,0.258,0.258,0.344,0.344,0.344,0.361,0.189,0.224,0.181
other sectors - households - energy use,151.505,157.868,154.428,133.878,132.502,132.760,138.091,147.893,149.871,162.167,151.935,156.320,155.718,164.918,179.708,185.899,204.127,214.015,234.738,234.308,222.700,225.107,227.171,222.786,228.375,228.719,238.607,243.990,256.621,250.447,261.754
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.172,0.172,0.172,0.000,0.860,0.860,1.032,1.290,2.064,1.978,2.236,3.439,2.580,3.181,3.267,4.041,2.837,1.204,2.236,1.892,2.236,2.236,1.978,2.064,1.462,1.806,2.064,2.253,2.279,2.158,1.617
transport sector - rail - energy use,9.544,11.264,2.580,1.462,2.580,1.978,0.860,0.946,0.860,0.602,0.602,0.516,0.516,0.602,0.688,0.688,0.688,0.688,0.860,0.946,0.946,0.860,0.946,0.860,0.946,0.946,1.032,1.006,1.427,1.290,1.152
transport sector - road - energy use,8.512,8.426,9.372,6.535,5.331,5.417,5.417,5.417,4.041,3.783,3.697,3.783,3.955,3.955,3.955,4.127,4.299,4.127,4.041,3.783,3.353,3.267,3.525,3.439,3.009,3.009,3.095,3.130,3.156,3.216,3.482
