Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,356.750,362.081,363.801,377.042,399.312,429.579,421.926,434.824,455.030,472.485,496.566,502.369,507.799,531.490,549.522,529.030,568.608,575.559,567.270,525.578,566.893,557.549,536.196,532.978,531.557,535.144,547.419,549.723,555.349,550.039,526.183
industry sector - chemical and petrochemical - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.414,23.164,24.149,41.066,41.079,45.580,39.763,38.271,34.127,26.743,30.085,34.462,33.500,34.994,31.683,32.661,32.973,29.107,17.978,19.440,18.479
industry sector - construction - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.124,13.063,17.478,34.005,23.229,22.263,21.987,20.404,22.126,15.233,14.237,10.831,10.675,10.641,12.055,12.317,15.084,15.679,9.648,7.188,7.499
"industry sector - food, beverages and tobacco - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.908,13.358,16.460,16.205,14.172,14.369,12.832,11.125,11.490,12.535,12.500,14.367,13.331,12.302,18.471,13.564,15.172,12.803,6.898,6.658,6.593
industry sector - iron and steel - energy use,102.322,100.000,94.841,96.131,111.092,129.149,126.655,144.540,148.495,158.641,158.029,136.160,154.304,137.179,182.953,146.014,200.948,182.972,183.628,158.170,198.750,174.170,149.080,137.593,132.113,139.864,158.176,138.603,196.656,177.237,171.022
industry sector - machinery - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.574,8.621,9.651,13.714,12.777,11.813,11.429,12.078,12.347,11.322,12.974,8.537,8.149,7.833,7.105,7.164,7.748,6.460,3.725,4.014,3.578
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.075,1.259,1.480,1.530,1.322,1.064,1.065,1.079,1.108,1.077,0.966,1.278,1.041,1.014,1.144,1.154,0.977,0.735,0.463,0.471,0.501
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - non-metallic minerals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.674,31.310,36.042,22.952,19.622,17.681,13.661,12.265,11.806,11.441,10.789,25.018,22.943,19.766,23.344,20.975,20.024,18.297,10.872,10.202,10.299
industry sector - not elsewhere specified - energy use,139.295,139.897,143.078,146.260,152.451,160.361,150.645,148.495,154.772,158.040,3.931,3.769,4.437,7.619,6.574,6.635,6.050,6.761,8.220,8.144,9.925,22.997,22.803,24.528,27.081,29.499,31.344,24.767,18.096,22.763,23.759
"industry sector - paper, pulp and printing - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.683,10.271,13.077,15.378,13.474,12.578,9.688,7.729,8.580,7.614,5.756,3.298,3.436,3.242,3.273,3.388,3.358,3.061,1.803,2.437,2.661
industry sector - textile and leather - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.226,12.220,16.043,13.602,13.211,13.411,11.103,10.295,11.468,10.056,12.150,11.011,9.336,9.087,7.410,8.683,8.668,7.704,5.269,6.651,5.954
industry sector - transport equipment - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.413,0.380,0.436,1.156,1.393,1.582,2.081,2.929,3.325,2.469,2.131,1.083,1.083,0.993,0.457,0.792,1.078,1.023,1.272,1.074,1.078
industry sector - wood and wood products - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.731,1.461,1.733,1.921,2.002,1.959,1.625,1.629,1.424,1.485,1.463,0.456,0.358,0.358,0.443,0.455,0.490,0.375,0.356,0.357,0.441
other sectors - agriculture and forestry - energy use,6.277,6.363,6.449,6.363,6.363,6.277,6.277,5.933,5.933,5.847,2.889,3.334,2.689,2.882,3.225,2.750,2.579,2.557,2.546,3.153,3.380,3.985,3.257,3.419,3.334,3.165,2.947,2.851,2.727,2.748,3.022
other sectors - commercial and public services - energy use,54.686,59.071,61.135,66.638,67.154,70.335,74.377,74.377,81.685,85.211,141.633,169.138,134.177,145.529,135.891,150.545,152.809,182.805,178.572,168.714,171.413,161.700,167.336,171.313,165.556,164.507,153.593,192.656,186.817,197.087,177.717
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,49.441,51.677,52.880,55.546,55.804,56.836,56.836,54.514,56.664,56.664,68.128,68.895,69.515,70.712,72.121,72.664,71.452,72.534,66.761,77.768,70.090,73.225,78.800,84.195,86.922,85.063,83.902,83.355,79.821,78.192,80.793
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,4.729,5.073,5.417,6.105,6.449,6.621,7.137,6.965,7.481,8.083,5.134,5.966,6.126,6.039,6.479,8.123,9.534,10.125,9.741,9.654,10.284,11.132,11.063,11.668,11.119,11.833,11.775,12.090,12.679,12.785,11.305
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.031,0.047,0.061,0.111,0.157,0.269,0.733,1.481
