Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,78.246,103.525,107.997,109.200,104.471,108.255,115.133,116.939,120.550,130.353,134.738,134.910,142.476,155.288,153.912,159.759,159.329,159.157,159.329,146.776,156.836,160.447,167.326,167.670,172.399,181.771,182.049,199.230,204.178,211.885,202.457
industry sector - chemical and petrochemical - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.267,3.267,3.439,3.439,3.525,3.525,3.869,4.346,3.980,4.010,4.631
industry sector - construction - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.376,1.376,1.548,1.720,2.236,2.408,2.064,2.288,2.306,2.437,1.656
"industry sector - food, beverages and tobacco - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.073,5.073,4.987,4.901,5.159,5.331,5.159,5.890,6.110,6.346,6.037
industry sector - iron and steel - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.003
industry sector - machinery - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.458,9.372,9.286,9.802,9.974,9.888,9.372,10.005,10.087,10.333,9.480
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.086,0.086,0.086,0.172,0.086,0.086,0.120,0.133,0.170,0.095
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
industry sector - non-metallic minerals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.516,0.516,0.516,0.516,0.602,0.516,0.484,0.491,0.495,0.443
industry sector - not elsewhere specified - energy use,0.000,20.292,22.098,22.356,41.960,42.046,43.852,38.951,38.779,41.960,43.336,41.531,43.852,47.807,47.377,41.531,45.572,45.572,47.979,43.766,7.309,7.653,7.481,7.481,6.965,7.137,7.997,9.435,10.373,10.339,9.456
"industry sector - paper, pulp and printing - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.720,1.892,1.892,1.892,1.978,1.978,2.064,2.164,2.274,2.336,3.785
industry sector - textile and leather - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.041,4.041,3.955,3.353,2.580,2.837,2.408,2.682,2.707,2.590,2.348
industry sector - transport equipment - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.204,1.290,1.376,1.462,1.634,1.720,1.634,1.844,1.775,1.755,1.716
industry sector - wood and wood products - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.086,0.086,0.086,0.172,0.172,0.172,0.179,0.193,0.208,0.081
other sectors - agriculture and forestry - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.860,0.774,0.860,0.860,0.946,0.946,0.947,0.921,1.221,1.272,1.261
other sectors - commercial and public services - energy use,1.376,1.548,1.634,1.634,29.665,31.814,34.050,38.263,38.779,41.874,43.336,46.948,49.613,53.396,53.654,48.409,57.094,57.008,55.890,53.912,68.530,71.281,76.354,77.042,81.083,86.156,85.332,94.061,91.994,93.592,83.553
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.163,0.173,0.160,0.224
other sectors - households - energy use,22.528,23.216,24.076,24.334,32.846,34.394,37.231,39.725,42.992,46.518,48.065,46.432,49.011,54.084,52.880,53.568,56.664,56.578,55.460,49.011,50.645,51.075,52.794,52.365,52.880,56.406,57.261,62.590,68.340,73.792,75.535
other sectors - not elsewhere specified - energy use,54.342,58.469,60.189,60.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.251,0.000,0.000,0.000,0.000,2.580,2.580,2.580,2.580,2.494,2.494,3.084,2.027,1.935,1.911,1.971
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.083,0.139,0.183
