Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.545,290.800,298.366,313.414,313.758,316.939,311.436,318.487,330.267,327.859,327.343
industry sector - chemical and petrochemical - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.494,2.666,3.009,3.439,4.041,3.869,3.869,3.783,3.611,3.009,2.837
industry sector - construction - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.118,1.204,1.376,0.946,1.032,0.516,0.516,0.774,0.946,1.376,1.462
"industry sector - food, beverages and tobacco - energy use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.506,25.967,28.891,29.751,32.674,34.050,34.050,34.308,32.674,30.267,28.461
industry sector - iron and steel - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.086,0.086,0.258,0.430,0.172,0.172,0.172,0.172,0.258,0.258
industry sector - machinery - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.041,4.127,4.213,3.955,4.213,4.041,3.955,4.041,4.213,2.923,2.236
industry sector - mining and quarrying - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.290,1.462,1.290,1.462,1.548,1.376,1.118,1.290,1.290,1.290,1.462
industry sector - non-ferrous metals - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - non-metallic minerals - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.500,13.586,12.038,14.445,13.242,13.586,11.522,11.436,12.124,13.242,13.500
industry sector - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.006,10.920,11.178,11.608,11.178,4.127,4.213,3.439,4.299,4.385,4.471
"industry sector - paper, pulp and printing - energy use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946,1.032,1.032,0.946,0.946,0.774,0.774,0.860,1.118,1.118,1.118
industry sector - textile and leather - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009,3.009,3.439,3.525,3.439,3.095,3.267,4.471,4.385,4.385,3.611
industry sector - transport equipment - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.086,0.258,0.000,0.258,0.258,0.688,0.860,0.688
industry sector - wood and wood products - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.675,6.019,6.105,4.557,4.901,0.860,0.860,0.860,0.774,0.516,0.516
other sectors - agriculture and forestry - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.643,4.643,4.471,4.557,4.213,3.955,4.041,4.213,5.589,6.191,6.621
other sectors - commercial and public services - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.010,78.590,81.083,90.284,84.953,98.710,96.991,100.860,111.006,110.490,107.739
other sectors - fishing - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.181,133.190,135.512,138.521,142.648,143.594,140.499,140.671,141.187,143.680,148.753
other sectors - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.611,3.525,3.267,3.267,3.439,3.697,3.611,3.697,3.955,3.697,3.439
transport sector - pipeline transport - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.774,1.376,1.806,0.602,0.516,1.720,3.353,2.236,0.172,0.172
transport sector - rail - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - road - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
