Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.732,331.556,338.607,321.410,259.415,276.096,293.551,276.870,232.674,224.420,230.353,229.665,245.486,244.764,262.614,243.173
industry sector - chemical and petrochemical - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,1.032,0.000,0.000,0.258,0.086,0.258,0.258,0.344,0.258,0.602,0.602,0.404,0.404,0.301,0.378
industry sector - construction - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"industry sector - food, beverages and tobacco - energy use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.290,1.204,1.032,1.720,2.494,2.408,10.060,10.404,1.806,3.095,2.666,2.666,2.605,2.683,3.224,3.113
industry sector - iron and steel - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.210,17.369,15.649,19.604,10.576,7.051,7.395,4.041,2.494,1.462,3.611,3.009,3.474,3.319,2.975,2.356
industry sector - machinery - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0.000,0.000,0.344,0.774,0.000,0.258,0.172,0.000,0.516,0.602,0.516,0.507,0.516,0.413,0.413
industry sector - mining and quarrying - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602,0.860,2.923,3.009,0.516,0.430,0.516,0.344,0.344,0.172,0.172,0.172,0.739,0.619,0.765,0.817
industry sector - non-ferrous metals - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.941,164.402,166.982,144.110,83.061,106.707,125.279,112.726,63.199,57.094,55.202,46.776,50.722,51.230,48.203,49.673
industry sector - non-metallic minerals - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.086,0.000,0.000,0.086,0.000,0.258,1.978,2.923,0.344,0.430,0.344,0.550,0.825,0.671,0.662
industry sector - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.368,46.260,50.559,44.798,46.432,41.445,41.015,27.343,40.413,1.204,1.376,1.204,2.218,2.279,1.634,1.247
"industry sector - paper, pulp and printing - energy use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.172,0.000,0.086,0.086,0.086,0.086,0.172,0.344,0.344,0.258,0.344,0.516,0.335,0.344,0.284
industry sector - textile and leather - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.086,0.000,0.000,0.000,0.000,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.060,0.052,0.034
industry sector - transport equipment - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0.602,0.000,0.774,0.602,0.516,0.086,0.516,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000
industry sector - wood and wood products - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0.774,0.000,0.688,0.774,0.602,0.602,1.462,1.462,0.774,0.946,1.032,1.092,1.135,1.479,1.230
other sectors - agriculture and forestry - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.236,2.322,2.408,3.095,3.181,3.267,1.032,0.860,1.032,1.118,1.204,1.204,1.574,1.496,1.359,1.290
other sectors - commercial and public services - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.548,2.322,2.580,6.105,54.772,54.600,62.339,68.684,68.831,88.461,73.904
other sectors - fishing - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.357,94.325,96.991,101.290,109.028,110.060,103.181,112.640,109.802,101.634,106.879,107.567,110.567,109.381,110.954,106.715
other sectors - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.978,1.978,2.064,1.892,1.548,1.892,1.118,1.290,1.720,1.548,1.720,1.806,1.745,1.651,1.780,1.058
transport sector - road - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
