Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,6 146.432,6 314.187,6 451.677,6 556.234,6 831.298,6 917.197,7 201.634,7 485.297,7 745.400,7 939.811,8 175.236,8 333.964,8 473.087,8 605.331,8 817.369,8 977.214,9 086.758,9 274.205,9 331.900,9 006.449,9 264.832,9 275.752,8 971.101,8 999.781,8 744.564,8 929.006,9 034.923,9 143.795,9 367.558,9 386.807,9 377.775
industry sector - chemical and petrochemical - energy use,903.439,904.557,907.137,893.035,1 005.933,1 020.980,1 042.046,1 030.353,1 034.910,1 001.634,1 002.666,1 002.752,1 048.839,1 051.419,1 064.918,1 085.641,1 106.019,1 131.556,1 076.526,1 059.673,1 136.543,1 116.939,1 073.500,1 079.971,1 049.245,1 097.981,1 125.206,1 122.350,1 149.378,1 093.920,1 146.475
industry sector - construction - energy use,77.816,78.590,77.644,77.816,77.644,79.106,80.224,82.803,83.921,86.328,88.220,89.510,88.994,85.297,83.749,83.577,84.351,87.102,88.564,87.532,86.758,81.083,77.420,81.563,75.266,76.502,77.799,83.729,83.571,81.748,91.004
"industry sector - food, beverages and tobacco - energy use",399.398,417.111,435.512,457.954,495.013,492.777,547.206,541.531,550.043,544.884,548.151,586.328,575.752,566.724,561.651,564.660,592.261,619.347,588.478,524.334,547.893,552.365,542.218,531.900,544.970,533.395,573.075,584.346,578.010,576.220,574.971
industry sector - iron and steel - energy use,195.013,172.657,167.670,179.536,189.768,200.430,191.831,200.258,197.248,194.583,225.623,225.795,221.238,228.203,232.846,233.620,230.353,236.629,228.633,204.729,226.827,231.384,232.674,227.687,232.502,219.042,213.720,210.612,205.324,201.568,176.238
industry sector - machinery - energy use,269.905,254.944,239.811,241.702,265.176,260.705,267.670,278.332,284.093,336.371,305.245,302.752,313.414,288.736,296.647,307.223,304.127,280.739,305.159,297.506,293.723,245.056,244.884,231.126,245.314,242.736,256.982,276.827,280.982,278.297,254.297
industry sector - mining and quarrying - energy use,9.716,9.802,9.372,4.213,5.159,8.340,8.169,14.961,20.980,23.044,20.120,16.595,17.283,18.229,16.251,16.079,24.592,21.840,28.375,11.264,37.747,21.496,20.980,21.582,17.283,20.274,21.250,21.297,21.866,20.324,19.671
industry sector - non-ferrous metals - energy use,455.202,434.050,418.917,406.535,395.013,395.615,412.296,422.958,470.163,489.510,511.522,498.882,494.153,501.118,544.110,544.454,492.003,516.337,549.441,330.009,410.748,525.709,238.521,244.024,140.155,175.158,191.091,171.171,191.322,231.989,224.193
industry sector - non-metallic minerals - energy use,128.805,132.932,141.788,127.257,124.076,118.057,124.248,134.738,129.665,133.448,145.314,139.209,132.760,126.827,122.872,123.560,124.334,130.009,133.534,125.021,125.279,110.490,105.589,104.987,100.344,101.178,111.172,109.226,112.297,98.718,93.244
industry sector - not elsewhere specified - energy use,80.224,104.127,134.308,131.986,143.766,151.677,157.696,166.380,160.361,176.096,174.721,200.688,202.494,186.500,198.710,195.443,196.819,186.156,186.071,156.406,160.275,165.004,169.769,165.996,166.613,169.175,172.595,172.905,177.558,178.629,180.742
"industry sector - paper, pulp and printing - energy use",243.594,256.836,258.985,269.046,272.743,278.160,282.373,305.761,307.825,314.187,327.085,311.522,327.085,317.627,316.595,312.124,316.423,316.939,311.522,233.620,230.610,214.875,215.219,218.573,198.022,196.126,203.316,211.868,195.112,183.089,178.098
industry sector - textile and leather - energy use,40.069,40.757,38.349,45.486,49.785,50.301,46.604,54.342,54.772,46.690,47.120,45.916,49.355,47.120,42.906,34.996,33.964,33.362,30.696,27.515,33.104,31.212,30.095,32.416,29.063,27.722,27.608,28.377,29.585,28.515,37.376
industry sector - transport equipment - energy use,43.766,44.712,45.142,46.174,47.291,49.957,52.021,57.094,54.858,54.858,55.288,54.858,60.447,57.266,53.998,49.785,50.215,52.021,58.555,61.995,61.049,49.097,44.712,46.862,47.120,49.840,52.343,50.892,60.071,57.753,53.025
industry sector - wood and wood products - energy use,21.152,21.238,24.162,24.076,24.936,25.107,22.270,21.152,26.913,26.827,24.678,22.012,22.098,19.347,17.627,20.808,22.528,23.904,24.764,24.420,20.894,19.175,20.550,14.703,16.939,19.483,17.249,13.545,12.478,14.175,18.361
other sectors - agriculture and forestry - energy use,225.451,265.262,283.749,295.185,323.216,321.496,336.887,345.228,349.441,372.141,361.221,371.969,367.756,396.561,439.295,494.497,493.981,541.531,561.307,609.028,595.615,598.624,640.507,678.125,702.770,772.141,768.863,821.281,928.650,993.231,927.403
other sectors - commercial and public services - energy use,1 594.583,1 662.253,1 719.518,1 769.561,1 775.494,1 781.599,1 916.079,2 083.319,2 237.317,2 311.866,2 476.010,2 583.405,2 615.735,2 735.598,2 832.502,2 897.506,2 977.386,3 045.314,3 085.899,3 142.476,3 161.307,3 173.775,3 106.585,3 119.736,3 060.188,3 117.889,3 114.083,3 154.774,3 184.652,3 143.263,3 088.223
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
