Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,403.439,405.417,450.903,434.050,411.522,427.257,446.260,459.329,469.561,440.327,447.807,431.470,427.601,489.854,495.615,535.426,553.654,580.224,593.035,549.613,583.319,634.394,602.322,584.781,578.590,570.507,532.518,524.662,524.975,536.601,535.205
industry sector - chemical and petrochemical - energy use,15.305,13.242,15.391,17.541,12.382,11.608,8.942,8.942,6.019,4.901,3.783,3.353,4.041,4.127,3.955,4.041,4.213,4.127,6.019,5.675,5.503,5.589,5.503,5.073,3.267,5.589,5.543,6.455,6.582,6.992,7.256
industry sector - construction - energy use,3.955,5.503,5.503,9.630,3.353,4.127,5.417,2.408,2.064,3.181,2.408,2.150,2.837,2.064,1.720,1.376,1.290,1.376,1.548,1.720,1.462,1.720,1.548,1.548,1.548,1.548,1.630,1.616,1.603,1.873,1.763
"industry sector - food, beverages and tobacco - energy use",10.834,11.522,11.522,11.350,18.401,11.092,11.178,10.920,10.662,10.404,11.092,10.662,11.178,11.092,10.576,11.178,11.006,14.015,14.359,13.156,12.210,12.296,12.038,11.866,11.866,12.382,12.222,12.717,13.151,14.349,14.022
industry sector - iron and steel - energy use,105.245,95.357,121.668,102.322,92.175,93.637,100.516,108.426,110.576,68.702,65.090,68.358,54.686,100.774,111.780,133.018,135.340,152.880,141.874,71.797,111.608,153.654,131.212,134.910,133.706,106.449,76.104,55.978,60.042,62.024,64.375
industry sector - machinery - energy use,2.322,2.064,2.064,4.901,4.299,3.783,3.697,4.213,6.707,6.191,4.213,3.955,3.611,4.299,4.385,3.783,3.955,3.525,4.729,4.385,5.847,5.503,3.869,3.525,3.353,3.611,4.128,4.626,4.956,5.248,5.934
industry sector - mining and quarrying - energy use,18.229,16.423,16.423,0.000,7.309,6.707,6.621,6.621,7.309,3.697,4.299,5.503,3.525,3.353,1.376,6.363,10.146,9.974,13.672,15.133,14.101,13.672,14.187,14.703,13.242,14.961,13.428,13.254,13.303,12.860,12.577
industry sector - non-ferrous metals - energy use,6.879,7.051,7.051,19.604,13.586,13.929,14.875,14.875,15.133,14.531,14.101,11.780,11.952,3.611,1.118,0.860,1.118,1.290,1.032,0.774,0.688,0.774,0.946,1.032,1.032,1.032,1.175,1.189,1.145,1.156,1.117
industry sector - non-metallic minerals - energy use,4.557,3.267,3.267,2.322,10.318,9.888,9.888,10.920,9.458,9.716,13.328,12.124,12.898,11.608,11.952,12.468,13.758,13.500,13.328,11.092,11.694,12.038,10.232,10.060,9.114,9.286,11.466,11.714,12.034,12.628,12.531
industry sector - not elsewhere specified - energy use,32.330,30.782,14.359,3.955,0.000,0.086,0.086,0.086,0.000,0.086,1.634,1.720,1.720,2.064,1.462,2.150,1.720,1.462,2.064,2.322,1.806,2.923,3.009,3.783,4.557,4.299,4.121,4.657,4.682,4.733,4.672
