Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"8,323.990","8,512.898","8,545.400","8,668.444","8,753.568","8,922.270","8,868.788","8,933.534","9,410.146","9,395.271","9,418.143","9,646.260","9,382.029","8,869.647","9,279.020","9,520.808","9,234.652","9,514.187","9,632.072","9,225.021","9,732.244","9,256.062","9,485.469","9,544.196","9,336.371","9,550.903","9,771.711","9,776.096","9,966.194","9,941.874","9,743.948"
industry sector - chemical and petrochemical - energy use,523.818,502.064,496.303,578.934,564.746,598.366,564.574,574.893,634.996,614.015,667.240,644.798,585.383,587.618,609.888,654.944,642.820,621.324,675.494,560.533,671.625,661.049,623.560,621.582,657.782,673.173,666.208,640.929,656.828,630.009,693.245
industry sector - construction - energy use,45.572,45.658,36.973,46.604,52.021,38.435,60.447,53.826,48.925,48.581,50.903,71.195,66.638,56.492,47.206,60.791,61.393,65.434,89.252,92.261,98.882,95.615,106.621,110.404,107.997,111.178,115.219,119.604,121.600,121.668,116.605
"industry sector - food, beverages and tobacco - energy use",196.475,210.748,249.613,262.855,232.760,248.839,208.684,226.483,242.648,261.737,268.960,266.982,251.075,235.856,254.170,241.702,241.702,240.757,248.151,215.219,233.534,226.827,216.509,223.216,227.429,231.814,248.925,254.944,256.669,258.298,273.247
industry sector - iron and steel - energy use,709.888,652.537,635.512,514.961,601.462,641.445,600.774,592.691,673.173,664.144,677.902,610.232,546.174,509.630,592.003,485.469,366.036,426.827,445.142,313.242,402.236,443.164,434.050,431.814,453.998,434.480,444.970,476.526,468.354,440.585,429.208
industry sector - machinery - energy use,145.056,115.219,130.696,131.814,122.700,133.620,111.006,119.518,116.681,124.506,119.347,113.242,113.844,101.290,103.869,105.245,107.137,113.242,113.242,82.803,100.688,96.045,95.357,100.086,102.752,106.707,98.710,91.144,86.899,92.519,98.028
industry sector - mining and quarrying - energy use,60.877,63.199,57.782,59.243,56.320,43.336,48.495,41.874,43.938,38.263,43.508,40.843,38.693,39.725,40.757,39.123,38.349,40.069,42.734,37.489,47.979,52.365,49.269,50.215,49.871,45.744,35.770,35.340,34.329,37.661,36.395
industry sector - non-ferrous metals - energy use,"1,447.377","1,469.390","1,411.952","1,443.766","1,471.453","1,478.504","1,354.342","1,468.530","1,617.111","1,623.474","1,651.333","1,642.562","1,617.283","1,771.195","1,927.601","2,042.734","2,028.375","1,966.380","1,976.096","1,643.594","1,605.761","1,615.219","1,636.199","1,654.084","1,690.628","1,752.880","1,785.383","1,790.886","1,861.667","1,880.224","1,882.134"
industry sector - non-metallic minerals - energy use,65.262,70.077,83.405,82.975,92.347,88.650,94.841,70.421,74.549,78.590,77.730,71.625,72.485,71.711,73.345,76.182,79.794,80.482,84.265,63.285,73.689,74.893,71.883,76.698,78.504,81.169,74.635,80.653,84.379,91.402,86.338
industry sector - not elsewhere specified - energy use,13.672,26.655,27.257,35.856,37.833,38.005,38.607,39.209,45.572,43.680,55.546,45.228,42.906,41.617,42.476,47.979,46.088,54.600,54.600,35.254,42.734,38.779,41.788,40.241,33.878,35.082,34.050,37.145,42.317,34.824,34.831
