Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"8,274.721","7,686.758","7,365.950","7,442.906","7,336.543","7,712.038","8,160.189","8,303.783","8,319.261","8,220.206","8,432.760","8,446.088","8,336.715","8,658.899","8,958.985","9,028.805","9,512.812","9,810.146","10,076.440","9,656.492","10,205.503","10,446.432","10,504.643","10,623.990","10,777.857","10,990.423","11,422.055","11,675.658","12,078.139","12,073.221","11,807.526"
industry sector - chemical and petrochemical - energy use,898.108,751.849,724.162,724.248,772.657,809.114,819.948,791.316,704.213,652.451,681.771,671.195,642.562,695.529,706.105,679.708,724.334,725.881,690.714,656.062,617.455,669.390,699.312,714.703,701.548,719.347,713.929,750.965,762.445,778.167,789.375
industry sector - construction - energy use,109.114,85.383,66.380,71.281,76.268,73.087,84.867,68.014,39.983,48.323,47.377,59.587,55.804,57.266,43.766,44.884,49.097,67.068,57.954,64.144,66.208,68.444,69.561,67.412,64.832,70.937,73.947,77.644,84.678,85.641,33.096
"industry sector - food, beverages and tobacco - energy use",245.486,257.610,248.065,272.743,277.902,330.181,426.053,441.101,378.676,318.487,322.872,321.324,342.218,366.208,371.367,381.943,386.328,436.199,435.168,425.365,437.403,438.435,465.176,484.437,493.895,536.543,560.361,581.150,632.713,646.588,638.882
industry sector - iron and steel - energy use,643.250,546.690,518.745,567.154,620.722,647.291,655.202,769.475,640.929,579.966,617.971,538.349,468.272,528.633,619.433,509.114,538.435,602.923,578.934,429.493,506.277,543.680,543.680,523.216,517.197,536.199,528.719,585.421,587.029,527.779,479.132
industry sector - machinery - energy use,464.832,366.380,362.339,341.187,322.184,395.443,372.399,392.519,360.103,298.022,296.561,285.813,288.392,290.972,289.768,303.783,322.872,343.250,330.782,279.880,312.124,341.702,336.887,365.520,378.074,390.628,393.895,413.072,440.753,427.639,405.657
industry sector - mining and quarrying - energy use,274.549,271.539,287.360,291.402,198.366,226.053,211.092,202.752,161.909,123.732,125.709,114.789,111.694,110.920,114.273,112.898,118.917,123.732,122.184,119.433,184.781,191.230,188.392,209.544,205.245,224.592,232.502,237.575,242.260,245.592,237.741
industry sector - non-ferrous metals - energy use,185.985,184.437,168.444,177.042,259.071,263.801,255.632,277.386,311.436,317.283,314.015,314.187,302.923,301.892,306.019,299.484,306.535,303.181,254.686,199.140,147.291,167.154,169.647,169.561,179.536,181.857,184.437,201.182,205.450,217.650,196.437
industry sector - non-metallic minerals - energy use,272.399,257.180,250.473,261.135,267.240,302.666,312.038,321.582,300.344,282.545,282.889,267.842,261.995,270.679,296.647,299.226,317.971,360.705,351.419,357.868,377.214,416.509,390.284,378.246,387.704,402.494,444.024,471.489,490.067,488.942,478.167
industry sector - not elsewhere specified - energy use,9.544,8.856,4.213,4.557,4.643,150.559,168.100,234.394,199.226,156.148,157.352,162.941,172.227,195.873,216.595,226.999,232.330,245.056,240.757,213.328,241.702,285.899,277.816,350.215,366.294,378.074,410.920,459.910,455.805,468.515,473.238
"industry sector - paper, pulp and printing - energy use",168.788,170.077,167.928,170.679,173.603,205.847,252.709,230.525,225.623,227.343,229.751,232.502,238.435,258.298,253.654,268.186,272.743,281.255,274.635,293.895,315.391,303.611,326.397,368.702,363.543,365.348,366.810,401.158,399.709,426.669,422.749
industry sector - textile and leather - energy use,183.577,136.371,128.117,141.015,152.451,158.298,154.686,192.089,138.607,108.770,107.481,98.968,99.828,97.764,101.290,88.220,77.988,78.934,67.240,49.269,48.753,44.024,42.218,45.916,46.432,49.011,52.365,52.128,70.921,54.211,49.719
industry sector - transport equipment - energy use,110.748,122.614,111.178,128.289,141.445,140.671,149.441,153.224,148.065,130.954,130.009,123.560,116.165,134.222,150.043,166.638,176.440,198.968,205.847,142.906,150.129,165.606,173.173,217.799,218.143,220.292,233.190,251.777,263.206,283.272,255.318
industry sector - wood and wood products - energy use,108.942,84.093,87.360,92.863,123.044,81.943,110.662,124.420,117.283,103.783,115.305,117.197,132.244,105.589,138.263,136.199,120.206,132.158,156.836,156.062,159.501,158.985,162.167,170.937,169.132,179.364,208.169,206.399,216.564,222.544,210.012
other sectors - agriculture and forestry - energy use,730.954,715.563,685.125,541.015,512.984,474.377,472.313,462.081,448.065,432.760,408.426,396.389,379.106,127.773,125.107,128.547,130.782,128.977,139.467,138.091,138.951,137.145,134.050,132.244,128.891,129.321,140.413,147.516,158.751,157.545,157.597
other sectors - commercial and public services - energy use,"1,658.899","1,562.253","1,539.983","1,689.424","1,468.186","1,495.959","1,643.938","1,538.005","1,990.886","2,251.419","2,386.586","2,504.643","2,462.597","2,570.249","2,666.982","2,868.186","3,156.578","3,197.678","3,533.104","3,486.844","3,754.858","3,799.656","3,815.821","3,708.512","3,884.048","3,907.362","4,110.017","4,042.885","4,251.174","4,220.867","4,126.231"
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.516,0.430,0.516,0.516,0.516,0.344,0.000,0.000,0.000,0.086,0.086,0.258,0.000,0.291,0.332,0.752,1.217
other sectors - households - energy use,"1,738.263","1,737.403","1,629.149","1,565.434","1,565.434","1,554.170","1,652.966","1,700.000","1,746.690","1,788.478","1,808.598","1,838.005","1,862.339","2,136.887","2,190.542","2,171.367","2,275.752","2,267.326","2,331.470","2,367.498","2,460.447","2,429.751","2,434.910","2,445.572","2,414.703","2,431.642","2,485.727","2,509.114","2,517.971","2,527.367","2,580.053"
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,11.608,5.847,6.535,7.309,9.888,9.200,11.780,11.608,16.853,19.948,27.859,30.181,29.063,32.072,33.534,36.028,36.371,34.652,30.610,28.977,30.181,28.891,26.483,24.506,24.764,24.678,26.139,20.173,20.631,20.101,17.794
transport sector - rail - energy use,457.352,420.464,378.160,393.895,388.306,391.316,404.385,391.144,388.478,377.902,370.507,366.896,369.218,375.580,333.276,305.159,266.810,279.794,272.227,245.830,254.858,254.600,246.948,245.314,232.158,240.585,254.342,263.529,275.261,270.559,248.709
transport sector - road - energy use,2.322,2.150,2.236,2.236,2.150,2.064,1.978,2.150,1.892,1.892,1.720,1.720,1.634,1.978,1.806,1.806,1.806,1.892,1.892,2.064,1.978,1.720,1.720,1.548,1.634,1.892,2.150,2.279,2.420,2.821,6.402
