Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"2,024.420","2,138.091","2,205.761","2,234.050","2,317.713","2,476.698","2,599.226","2,746.346","2,910.232","3,105.761","3,299.484","3,433.964","3,566.036","3,711.436","3,840.757","3,982.975","4,106.879","4,215.305","4,157.524","4,114.789","4,289.596","4,158.555","3,976.010","3,891.402","3,886.071","3,939.123","3,989.128","4,010.432","4,123.725","4,116.905","3,977.126"
industry sector - chemical and petrochemical - energy use,172.313,173.431,177.730,172.915,173.947,182.631,189.338,170.163,178.332,183.577,198.624,198.022,200.430,213.242,219.690,220.206,226.741,230.353,215.735,186.758,214.187,206.449,197.248,196.819,181.943,182.201,198.628,204.223,204.866,216.480,209.762
industry sector - construction - energy use,17.885,17.455,17.713,16.939,16.767,30.267,31.212,35.340,39.897,41.874,47.807,54.256,57.782,58.469,59.243,55.976,59.157,54.686,53.482,55.632,52.451,48.495,39.725,30.954,27.945,26.999,48.100,50.271,43.999,46.902,45.218
"industry sector - food, beverages and tobacco - energy use",94.583,100.000,101.634,97.764,96.561,101.462,103.353,120.378,123.130,126.999,134.480,135.512,137.833,141.359,145.142,145.744,152.451,156.922,152.537,157.782,163.801,160.533,150.473,151.849,159.587,159.415,165.624,169.900,174.797,179.499,173.812
industry sector - iron and steel - energy use,52.537,54.944,57.352,55.202,54.084,61.049,62.597,58.298,62.597,66.810,70.335,64.402,74.205,93.551,101.978,109.974,119.175,126.483,128.289,93.379,94.841,110.576,116.337,118.401,120.464,119.604,128.599,133.667,144.582,137.135,142.104
industry sector - machinery - energy use,75.666,77.214,77.558,74.463,73.947,81.685,83.749,68.100,74.721,80.997,87.532,91.144,92.089,97.334,101.892,102.837,107.481,109.372,109.372,106.621,115.735,113.156,109.544,109.372,112.382,114.359,92.573,93.296,99.975,100.391,95.196
industry sector - mining and quarrying - energy use,27.343,27.171,27.515,26.397,26.053,27.257,29.837,32.330,35.684,36.028,36.285,39.983,37.833,39.209,41.273,41.531,45.228,45.228,47.807,44.368,47.721,49.785,48.667,50.817,52.709,54.256,37.446,36.736,37.856,41.309,42.381
industry sector - non-ferrous metals - energy use,12.640,12.640,12.726,12.210,12.124,12.038,8.255,8.856,9.114,9.716,9.716,9.974,10.060,9.974,10.404,10.490,10.920,12.124,11.952,9.974,11.694,10.146,9.888,10.146,10.490,10.834,9.423,9.882,9.609,9.094,8.675
industry sector - non-metallic minerals - energy use,151.333,154.514,156.148,152.880,151.333,150.473,157.954,171.625,179.364,190.284,193.551,198.366,202.064,192.003,200.860,200.860,207.911,221.668,209.544,179.536,188.650,171.797,157.438,154.858,165.950,168.186,156.496,165.050,165.967,164.051,154.830
industry sector - not elsewhere specified - energy use,34.652,35.942,36.887,36.113,35.684,37.833,40.671,68.616,70.937,77.988,95.615,102.752,109.544,131.212,130.439,119.948,124.506,118.229,132.846,128.289,136.715,131.384,115.219,109.286,42.132,43.250,43.645,44.439,46.146,47.460,48.220
"industry sector - paper, pulp and printing - energy use",126.053,133.018,138.951,140.929,148.151,151.849,153.568,163.629,167.584,168.960,176.612,180.310,171.539,191.660,201.720,212.382,214.961,220.808,222.098,233.792,262.769,264.402,243.680,263.199,262.511,261.909,259.030,265.901,262.393,269.428,264.437
industry sector - textile and leather - energy use,211.092,213.156,216.595,211.694,217.885,220.120,219.261,193.723,200.000,201.204,200.258,192.347,200.516,178.590,163.715,153.998,144.970,146.002,132.244,111.264,125.451,104.815,103.525,105.847,114.617,114.445,106.975,109.120,110.045,106.648,90.284
industry sector - transport equipment - energy use,20.980,21.410,21.582,20.722,20.464,22.356,22.012,38.607,40.241,40.241,42.132,43.938,40.929,41.359,40.499,41.101,41.531,42.476,41.359,35.340,38.005,37.231,32.158,29.837,30.782,31.728,38.357,45.133,47.412,49.777,43.908
industry sector - wood and wood products - energy use,53.568,54.944,58.212,57.868,60.705,58.298,64.832,68.272,71.539,73.173,78.848,78.590,81.341,58.298,52.279,61.479,62.081,62.597,57.524,47.893,49.957,49.269,46.002,43.766,42.218,43.938,60.209,60.395,62.232,67.382,62.680
other sectors - agriculture and forestry - energy use,22.872,23.818,24.506,24.764,27.945,42.648,45.056,48.753,54.084,59.673,61.479,67.068,72.829,76.440,80.825,85.039,79.364,87.876,80.310,84.609,83.061,77.558,79.192,76.096,67.240,69.733,70.501,84.592,91.444,82.349,87.162
other sectors - commercial and public services - energy use,415.219,443.250,467.670,493.379,528.805,594.841,634.308,746.346,816.251,898.022,970.593,"1,032.932","1,063.027","1,133.706","1,178.418","1,238.779","1,310.404","1,341.874","1,356.406","1,373.431","1,409.888","1,398.968","1,376.354","1,350.559","1,440.757","1,478.332","1,415.010","1,407.527","1,440.210","1,413.906","1,293.054"
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.525,3.439,3.611,3.783,6.879,4.471,5.159,6.793,7.051,4.901,3.869,3.869,5.947,6.043,3.937,5.576,4.237
other sectors - households - energy use,509.028,567.412,584.437,611.866,636.285,676.182,725.709,724.248,755.288,818.831,864.660,913.586,978.676,"1,017.627","1,068.960","1,138.607","1,152.709","1,192.003","1,155.976","1,220.120","1,248.667","1,182.459","1,109.028","1,058.813","1,024.506","1,029.579","1,115.450","1,082.517","1,136.073","1,137.004","1,174.204"
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.118,1.204,0.774,0.602,0.602,0.543,0.502,0.504,0.527,0.487
transport sector - rail - energy use,26.655,27.773,28.547,27.945,36.973,25.709,27.515,29.063,31.470,31.384,30.954,30.782,35.340,37.403,39.897,40.585,43.680,42.820,43.164,41.531,40.843,33.620,33.276,25.107,25.365,25.795,36.486,41.055,41.218,40.975,35.583
