Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"2,681.883","2,543.431","2,459.183","1,910.241","1,995.357","2,170.525","2,316.328","2,380.954","2,389.690","2,208.547","2,356.621","2,462.347","2,487.567","2,442.253","2,448.753","2,206.621","2,210.060","2,280.224","2,343.766","2,305.245","2,387.876","2,425.021","2,350.817","2,328.031","2,254.944","2,337.833","2,373.345","2,418.236","2,411.750","2,407.064","2,397.302"
industry sector - chemical and petrochemical - energy use,0.000,75.150,75.150,32.588,33.792,34.050,34.910,36.887,36.028,32.846,35.254,39.037,39.811,37.231,82.287,72.227,79.966,73.775,98.624,53.740,81.771,52.537,70.937,80.138,77.644,79.278,103.353,108.489,115.872,106.513,98.431
industry sector - construction - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.343,25.537,16.337,18.401,17.713,26.655,13.758,28.031,27.257,26.655,26.311,27.343,27.601,29.224,29.157,29.144,27.689
"industry sector - food, beverages and tobacco - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,71.797,74.979,92.347,109.544,89.338,72.657,94.497,103.095,112.038,125.623,123.044,130.868,133.104,139.753,137.313,134.539,133.524
industry sector - iron and steel - energy use,0.000,71.367,71.367,27.429,28.375,28.547,29.235,30.954,30.267,27.601,29.665,32.846,33.448,31.298,66.810,78.934,96.131,80.567,73.689,55.718,65.262,76.182,65.004,34.050,47.893,62.941,75.322,79.096,115.438,115.734,108.275
industry sector - machinery - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.082,37.317,40.843,75.322,101.892,47.377,56.750,177.300,70.163,67.756,61.479,58.985,53.826,56.497,56.311,67.596,68.260
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.923,30.610,32.502,30.439,44.110,37.059,45.572,59.071,70.077,70.937,74.205,72.485,37.145,39.028,35.014,41.458,39.230
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.881,30.095,32.588,24.936,32.072,16.595,22.614,27.171,33.362,34.394,29.235,31.728,36.457,38.266,37.830,50.316,31.455
industry sector - non-metallic minerals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.813,57.610,57.094,80.739,36.801,30.181,47.291,48.925,48.753,60.189,49.527,56.234,61.651,64.677,63.459,65.055,69.116
industry sector - not elsewhere specified - energy use,"1,188.220",879.278,793.293,417.120,453.654,462.081,473.517,500.946,489.080,446.260,479.450,531.384,541.617,506.191,31.728,30.610,32.588,29.751,34.222,22.528,168.788,32.072,35.684,39.897,37.575,44.798,55.632,58.369,67.863,55.471,74.751
"industry sector - paper, pulp and printing - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.653,7.137,6.707,19.862,23.990,80.653,18.573,21.324,41.788,35.254,35.856,30.868,41.273,43.326,35.880,36.884,36.306
industry sector - textile and leather - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.563,13.156,11.608,20.464,16.767,8.856,10.060,11.092,12.038,13.414,25.451,23.388,30.782,32.304,29.527,26.864,29.601
industry sector - transport equipment - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.813,57.610,11.006,11.608,31.298,128.289,12.726,16.681,20.120,27.257,22.356,18.315,20.980,22.044,18.337,16.046,13.980
industry sector - wood and wood products - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.643,4.729,4.127,4.987,7.051,1.978,6.277,7.309,3.611,7.911,10.490,11.006,10.834,11.369,9.096,9.584,10.342
other sectors - agriculture and forestry - energy use,16.423,18.315,18.315,14.789,15.305,15.391,15.735,16.681,16.251,14.789,15.907,17.627,17.971,16.767,17.799,18.573,18.401,18.229,18.487,25.451,39.209,27.601,26.569,25.881,25.623,27.257,26.913,29.413,29.316,29.385,28.471
