Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,2 013.242,1 879.020,1 747.807,1 738.693,1 747.549,1 868.444,2 018.831,1 963.887,1 805.245,1 955.890,1 892.519,2 016.509,1 957.008,1 976.354,2 065.950,1 964.746,2 033.878,2 112.898,2 129.407,1 986.071,2 075.236,2 133.448,2 058.212,2 156.836,2 077.128,2 095.529,2 148.495,2 218.659,2 230.009,2 166.122,2 047.549
industry sector - chemical and petrochemical - energy use,0.000,0.000,0.000,0.000,0.000,95.357,133.792,128.117,120.464,121.496,124.334,90.886,121.668,125.537,120.894,146.088,154.514,152.537,134.480,119.261,69.132,78.848,120.636,115.821,103.439,112.812,108.684,95.271,82.631,81.083,88.564
industry sector - construction - energy use,0.000,0.000,0.000,23.646,16.939,17.713,14.359,15.735,15.133,11.694,11.436,12.210,10.662,6.879,6.363,6.621,6.363,7.739,10.490,17.541,14.531,19.433,5.159,5.159,5.073,5.933,6.105,6.277,8.942,8.255,7.481
"industry sector - food, beverages and tobacco - energy use",0.000,0.000,0.000,0.000,0.000,70.507,105.331,100.860,93.293,94.153,96.389,83.147,92.863,45.486,43.508,46.690,43.680,44.712,46.518,41.101,41.015,37.403,44.540,43.336,48.753,46.174,46.088,41.015,42.132,48.667,41.445
industry sector - iron and steel - energy use,0.000,0.000,0.000,0.000,0.000,226.139,301.118,288.306,270.765,273.173,279.536,211.608,132.502,207.653,223.732,197.077,220.378,234.394,207.739,162.597,201.978,200.860,223.302,211.006,213.672,200.946,198.022,224.764,218.487,189.252,129.149
industry sector - machinery - energy use,0.000,0.000,0.000,0.000,0.000,53.482,77.644,74.291,69.819,70.421,72.055,93.293,42.648,63.801,69.218,65.864,75.838,91.316,119.518,82.631,92.949,92.347,96.647,99.398,111.866,114.273,124.592,145.572,156.320,145.658,110.232
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,10.662,12.210,11.694,11.006,11.092,11.350,9.028,10.232,8.770,8.598,8.856,9.372,9.028,8.255,3.869,3.869,3.697,3.181,2.494,2.580,2.923,3.783,3.525,6.191,5.847,5.159
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,143.164,144.712,173.861,202.236,204.299,206.363,182.287,215.133,193.379,211.092,211.006,212.898,213.070,216.939,220.378,222.356,224.850,217.541,225.795,201.720
industry sector - non-metallic minerals - energy use,0.000,0.000,0.000,0.000,0.000,60.705,94.067,90.026,84.523,85.297,87.274,59.759,73.517,87.102,67.756,68.788,67.670,81.685,71.453,60.619,57.696,69.304,56.922,57.868,58.040,47.463,65.262,52.107,66.466,71.109,63.027
industry sector - not elsewhere specified - energy use,1 290.456,952.880,966.036,673.345,853.912,151.505,28.719,25.537,24.850,28.633,29.235,25.193,33.018,40.241,41.273,62.597,47.807,49.871,61.909,59.329,66.896,66.810,69.475,58.985,77.214,77.386,84.437,89.768,88.822,87.274,77.386
