Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,794.669,762.597,728.375,731.126,793.035,803.353,816.509,846.948,867.584,890.886,904.643,940.843,1 005.073,1 035.856,1 078.762,1 095.615,1 131.986,1 140.499,1 101.118,971.023,1 027.085,1 074.807,1 068.702,1 073.001,1 071.281,1 099.570,1 119.948,1 163.358,1 179.034,1 176.208,1 113.599
industry sector - chemical and petrochemical - energy use,27.085,38.693,31.040,28.977,27.687,34.910,35.168,34.910,35.856,34.824,35.942,36.973,41.187,77.128,77.644,73.259,71.539,77.386,53.396,52.880,56.922,55.632,55.718,53.396,56.922,58.298,58.212,59.572,54.773,54.991,56.235
industry sector - construction - energy use,18.917,9.974,15.907,13.156,15.907,16.939,17.025,0.000,0.000,0.000,9.544,10.834,9.028,3.955,5.245,12.210,11.350,6.707,6.363,5.503,4.815,4.557,3.697,3.525,3.267,3.869,3.869,4.190,4.392,6.385,4.039
"industry sector - food, beverages and tobacco - energy use",18.487,18.229,16.853,17.713,19.089,18.487,19.433,18.917,20.550,21.668,22.184,22.700,21.840,25.795,24.420,25.451,30.267,27.429,25.451,23.904,23.732,23.646,23.560,22.872,24.162,24.936,24.592,25.820,23.624,24.511,24.013
industry sector - iron and steel - energy use,105.761,62.167,55.718,50.903,65.176,62.081,55.374,64.316,66.294,66.896,75.064,79.880,73.947,55.374,56.492,64.488,70.421,51.677,65.864,50.559,63.457,62.597,66.036,66.122,65.176,65.348,67.670,70.700,66.915,67.615,61.126
industry sector - machinery - energy use,63.887,58.641,39.467,38.607,41.015,41.015,59.243,43.336,50.903,53.826,57.180,56.320,55.546,65.090,69.647,75.666,85.727,93.809,81.771,66.982,80.052,78.590,74.119,76.268,77.816,80.567,84.609,86.431,107.086,109.140,107.170
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.236,2.408,2.837,3.267,3.181,3.095,4.127,4.041,4.127,5.847,5.761,6.707,7.481,8.426,7.997,8.512,10.490,11.436,11.092,11.264,12.653,13.472,13.082,12.628
industry sector - non-ferrous metals - energy use,142.734,120.206,108.340,108.942,110.146,104.299,102.666,104.815,99.312,99.570,101.978,101.634,128.461,151.075,154.600,164.316,158.040,168.788,110.404,57.266,60.791,103.267,111.952,111.952,112.812,114.445,116.165,116.203,113.774,101.460,80.146
industry sector - non-metallic minerals - energy use,11.780,14.617,12.984,16.767,20.034,18.315,19.948,37.059,38.091,38.521,38.263,39.295,35.426,40.413,38.091,39.639,42.304,44.970,44.196,28.289,35.168,33.190,30.610,30.439,31.728,36.801,29.837,32.630,33.723,35.224,31.585
industry sector - not elsewhere specified - energy use,7.481,24.334,23.302,23.474,25.365,27.429,8.340,22.442,24.248,27.257,25.795,28.375,28.891,35.340,36.887,39.295,47.120,45.830,39.123,34.394,37.231,35.856,33.706,35.082,36.285,36.801,39.983,42.498,40.019,41.556,39.844
"industry sector - paper, pulp and printing - energy use",56.664,50.989,46.518,41.617,50.215,50.989,48.237,45.142,46.002,47.893,57.610,58.383,57.524,58.813,63.113,64.746,63.972,62.683,57.524,56.234,55.632,54.514,55.288,53.654,58.212,59.157,58.641,60.121,58.920,60.831,56.666
industry sector - textile and leather - energy use,33.362,29.665,28.375,28.547,28.203,27.859,24.850,24.592,23.990,23.474,24.506,26.053,22.012,23.474,22.442,21.496,21.324,21.066,16.079,12.640,12.898,10.834,9.888,10.404,9.114,8.169,8.770,8.906,7.847,7.947,7.606
industry sector - transport equipment - energy use,0.000,0.000,0.172,0.172,0.258,0.172,0.172,8.426,9.544,9.372,9.630,10.318,10.146,11.350,11.608,13.328,14.187,18.573,19.862,17.283,18.229,18.659,21.066,18.143,20.034,19.089,18.401,21.232,20.648,21.951,18.716
industry sector - wood and wood products - energy use,27.085,24.506,22.012,22.614,23.044,22.528,20.980,13.758,15.219,14.187,14.445,14.875,13.929,14.531,16.595,18.659,17.627,17.455,15.907,13.586,14.445,14.875,15.047,13.070,13.844,14.445,14.015,13.321,13.607,13.492,13.847
other sectors - agriculture and forestry - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.449,1.472,1.581
other sectors - commercial and public services - energy use,70.163,86.586,108.340,112.984,131.986,144.196,165.262,182.115,190.112,231.642,182.803,200.086,256.750,195.357,222.614,208.169,212.554,221.840,268.014,260.877,263.629,280.396,272.485,276.698,270.077,277.902,289.338,302.998,309.160,302.718,267.882
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,192.003,208.684,206.707,214.101,222.270,219.518,226.053,230.782,231.298,205.159,223.646,230.009,232.502,258.641,258.985,253.740,262.683,259.759,273.603,269.733,276.784,276.096,273.345,277.644,268.702,275.580,280.310,286.072,289.580,293.969,312.477
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.146,8.083,0.516,0.774,0.860,0.946,0.860,0.602,0.688,0.774,0.774,0.602,0.602,0.688,0.430,0.602,0.516,0.579,0.579,0.579,0.579
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,19.261,15.305,12.640,12.554,12.640,14.617,13.758,14.101,13.758,13.758,12.640,13.844,14.273,14.617,15.477,16.079,16.165,16.165,16.165,12.640,14.101,13.500,13.070,12.554,11.264,12.468,13.758,19.358,19.377,19.114,17.275
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.091,0.170,0.184
