Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"10,816.767","11,060.791","11,244.110","11,236.715","11,776.870","12,116.165","12,655.374","13,673.947","14,202.322","15,240.929","16,204.557","17,278.848","17,670.679","18,735.856","19,833.964","20,827.343","21,162.941","21,563.629","21,934.136","20,617.197","21,049.183","20,938.005","20,657.610","19,783.921","19,509.630","19,951.677","19,992.691","20,558.985","20,504.299","20,165.864","18,886.930"
industry sector - chemical and petrochemical - energy use,887.360,907.395,877.300,855.460,800.774,761.737,777.730,851.935,877.042,918.229,"1,100.602","1,063.457","1,041.359","1,087.360","1,132.588","1,150.387","1,102.236","1,042.992",945.744,760.533,742.734,732.932,723.130,770.937,787.188,817.197,839.295,828.891,785.899,790.628,802.322
industry sector - construction - energy use,66.638,68.100,70.937,69.132,67.412,142.476,136.285,105.933,110.060,110.490,129.837,137.317,164.488,173.431,194.583,227.257,222.786,245.830,277.644,258.383,237.919,216.079,213.156,246.862,205.503,177.988,174.291,208.512,262.425,301.032,165.434
"industry sector - food, beverages and tobacco - energy use",496.389,507.567,517.885,504.901,514.961,526.741,524.076,588.392,610.490,658.040,771.539,742.992,789.596,864.230,914.961,989.854,868.616,906.277,895.615,873.431,900.430,825.537,814.445,801.548,937.489,942.648,956.836,906.363,859.329,915.219,846.690
industry sector - iron and steel - energy use,819.776,838.263,795.357,775.494,853.310,854.686,928.891,"1,008.512","1,046.432","1,140.585","1,266.724","1,368.960","1,395.357","1,475.236","1,479.794","1,579.536","1,386.242","1,424.850","1,474.721","1,055.116","1,231.126","1,155.116","1,139.639","1,059.845","1,058.469","1,084.265","1,160.705","1,239.209","1,301.462","1,141.359",938.005
industry sector - machinery - energy use,403.783,412.898,412.726,402.408,421.410,321.496,359.587,411.264,429.923,461.307,486.156,558.212,573.345,590.628,601.978,630.353,545.830,571.797,562.941,440.757,328.977,326.483,322.098,450.645,412.640,414.531,409.974,424.420,431.212,454.084,409.114
industry sector - mining and quarrying - energy use,143.852,147.120,143.766,140.155,111.522,105.933,113.070,121.238,124.678,131.556,111.350,157.008,152.021,124.076,131.212,134.050,119.690,123.302,112.382,92.863,104.127,116.423,114.875,118.573,130.610,123.818,151.763,170.507,162.941,176.784,193.551
industry sector - non-ferrous metals - energy use,699.742,715.563,728.461,710.232,661.737,641.702,709.802,732.760,756.664,773.947,798.882,879.278,901.462,935.856,995.013,883.147,869.475,923.818,865.950,817.885,743.852,922.442,910.060,774.893,804.987,820.636,802.494,865.864,785.641,665.004,611.350
industry sector - non-metallic minerals - energy use,595.873,609.286,610.490,595.185,565.176,563.801,612.382,647.034,662.339,756.062,826.569,940.585,948.065,"1,036.887","1,053.826","1,143.422",997.592,"1,034.308",909.802,673.775,661.995,562.253,554.686,472.399,482.201,506.707,509.372,536.973,540.843,544.712,507.653
industry sector - not elsewhere specified - energy use,301.204,308.083,374.893,365.520,392.347,289.510,316.423,340.671,352.537,404.385,711.694,502.923,447.291,394.755,601.806,645.400,549.269,644.798,691.660,491.402,474.721,480.825,474.377,362.167,306.277,585.297,583.663,604.127,531.298,350.731,399.140
"industry sector - paper, pulp and printing - energy use",342.132,349.871,351.075,342.304,364.488,390.456,403.611,432.846,455.718,471.109,324.076,574.033,593.121,628.289,658.899,676.956,624.936,668.874,657.696,563.285,340.413,451.419,445.400,494.669,500.516,505.589,498.968,513.844,476.268,504.729,447.206
industry sector - textile and leather - energy use,328.805,336.199,326.741,318.573,311.264,281.169,284.351,305.417,318.143,344.110,361.479,369.218,394.583,389.166,380.825,368.874,253.396,255.460,215.047,176.440,185.899,173.689,171.367,159.329,143.680,149.441,142.906,143.852,131.814,179.622,157.438
industry sector - transport equipment - energy use,231.900,237.145,243.164,237.059,239.209,214.617,216.939,261.995,283.749,281.083,345.142,315.993,328.547,350.043,372.313,378.848,324.420,329.837,312.898,272.657,245.142,231.556,228.461,256.578,298.194,314.101,361.823,386.844,372.743,378.676,325.709
industry sector - wood and wood products - energy use,123.560,126.311,125.537,122.356,130.696,117.111,99.570,109.458,113.500,122.786,129.665,151.591,169.733,226.483,211.780,223.388,194.325,193.465,176.784,126.741,121.668,120.894,119.261,121.668,93.637,97.334,106.019,136.973,121.582,125.795,119.433
other sectors - agriculture and forestry - energy use,304.213,311.006,314.015,296.303,344.798,418.573,407.051,353.482,361.135,394.067,431.126,445.142,428.891,434.394,446.432,455.202,498.968,495.013,492.003,471.625,356.750,348.925,344.282,387.532,444.282,501.032,514.531,506.621,431.126,462.339,441.617
other sectors - commercial and public services - energy use,"2,158.469","2,207.137","2,298.108","2,358.126","2,578.160","2,542.476","2,918.573","3,409.028","3,533.964","3,866.122","4,301.204","4,408.083","4,576.698","4,921.066","5,216.767","5,487.790","6,288.048","6,367.154","6,858.899","6,966.380","7,213.414","7,035.684","6,943.422","6,560.791","6,067.240","6,372.141","6,310.232","6,475.236","6,406.965","6,416.681","5,780.997"
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.200,10.232
other sectors - households - energy use,"2,597.592","2,656.234","2,700.516","2,782.631","2,989.854","3,094.411","3,225.709","3,448.409","3,585.555","3,907.395","3,750.559","4,272.141","4,353.912","4,663.371","4,991.058","5,381.255","5,836.801","5,865.348","5,970.593","6,140.241","6,507.223","6,544.024","6,456.406","6,110.060","6,079.966","6,024.850","5,988.650","6,138.693","6,449.355","6,275.236","6,296.131"
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,510.748,322.872,235.684,257.954,193.035,0.000,0.000,0.000,0.000,0.000,10.490,154.514,232.760,245.486,179.020,375.752,350.645,345.916,307.051,420.894,172.055,145.658,129.235,105.503,135.512,148.151
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,143.766,142.648,181.169,189.166,244.196,159.673,121.668,115.047,120.378,101.376,145.830,149.613,142.218,154.342,157.524,147.120,116.423,4.299,11.694,10.662,13.844,1.892,1.806,1.720,1.720,1.806,1.978,2.150,2.236,2.150,2.150
