Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,10 347.979,10 491.574,10 322.098,10 415.305,10 530.439,10 710.748,10 834.394,10 779.106,10 871.797,10 883.921,11 068.358,11 375.322,11 257.696,11 130.095,11 209.028,11 238.005,11 247.291,11 271.023,11 061.823,10 609.286,11 282.631,10 716.079,10 944.626,10 749.441,10 506.535,10 735.942,10 962.683,10 941.874,10 968.358,10 710.060,10 584.437
industry sector - chemical and petrochemical - energy use,573.001,496.991,484.179,392.519,350.129,334.050,389.424,420.980,514.875,515.735,466.294,476.612,478.074,572.915,584.351,570.507,546.260,527.687,507.653,384.695,422.528,396.475,395.529,396.819,385.469,378.332,396.131,400.258,377.386,373.689,350.215
industry sector - construction - energy use,42.476,45.744,81.255,70.421,60.189,57.180,58.383,66.466,58.813,56.922,56.492,67.928,74.033,69.304,70.679,69.046,74.893,76.096,79.106,92.347,103.783,95.185,94.239,96.303,92.777,104.213,114.961,118.487,127.515,124.764,114.703
"industry sector - food, beverages and tobacco - energy use",223.302,223.560,214.445,211.952,215.735,220.894,222.098,203.697,209.372,215.993,257.008,244.970,230.696,212.382,216.595,209.200,209.544,211.866,214.531,204.987,221.410,214.531,211.522,206.363,210.834,207.653,207.137,206.105,204.041,205.503,204.041
industry sector - iron and steel - energy use,382.201,404.643,399.140,403.955,427.687,458.212,425.107,445.142,429.665,426.741,461.307,426.397,419.003,417.025,425.365,460.533,454.600,448.667,447.206,314.875,393.121,428.719,387.532,381.599,372.227,378.246,377.214,392.261,395.615,389.338,359.415
industry sector - machinery - energy use,422.012,390.026,361.737,328.461,348.925,389.510,393.637,174.033,168.788,165.778,162.253,155.718,155.030,153.138,156.234,150.129,159.157,148.753,128.547,174.979,343.680,321.496,311.952,299.484,314.187,290.714,281.685,286.328,292.261,283.147,257.782
industry sector - mining and quarrying - energy use,201.634,208.684,198.710,184.523,190.972,210.404,206.363,223.904,213.929,210.318,222.614,218.917,221.754,222.098,226.569,216.251,220.206,220.894,258.040,208.340,262.855,285.899,282.803,318.315,0.000,303.525,310.576,320.464,320.550,323.130,338.521
industry sector - non-ferrous metals - energy use,234.566,229.751,203.611,197.420,200.602,221.496,227.945,231.814,232.158,229.063,240.671,252.021,255.546,253.052,258.126,280.997,277.300,281.599,260.877,197.764,205.933,258.383,275.150,267.068,249.957,248.495,252.365,255.546,258.212,244.110,239.467
industry sector - non-metallic minerals - energy use,124.678,118.917,107.739,97.592,104.041,110.662,106.191,96.561,95.873,96.905,100.946,123.904,101.204,97.420,99.398,89.854,90.456,97.592,106.019,82.631,90.198,87.790,86.758,80.739,82.373,81.427,84.781,88.650,87.704,81.427,76.440
industry sector - not elsewhere specified - energy use,211.694,162.081,283.319,404.041,388.650,392.605,355.374,596.647,531.298,638.091,463.543,559.415,583.491,458.126,464.230,480.396,398.882,416.767,451.935,501.892,283.921,211.866,283.405,225.021,2 307.997,225.623,222.442,222.184,230.267,210.404,195.787
"industry sector - paper, pulp and printing - energy use",1 772.571,1 721.496,1 628.977,1 661.393,1 682.631,1 689.596,1 682.975,1 730.954,1 813.500,1 855.890,2 026.139,1 995.615,1 954.342,1 942.390,1 981.255,1 986.586,2 079.622,2 129.493,2 108.598,1 917.885,1 979.450,1 964.832,1 975.236,1 862.081,0.000,1 760.619,1 731.728,1 743.078,1 722.270,1 683.921,1 632.932
industry sector - textile and leather - energy use,82.717,89.510,38.779,31.900,24.850,25.021,25.881,27.687,30.696,29.321,26.827,36.371,31.642,27.773,28.289,21.926,20.808,17.885,23.216,14.789,16.251,13.328,12.468,12.038,16.337,17.025,17.541,17.455,17.197,17.369,17.369
industry sector - transport equipment - energy use,198.624,196.475,187.102,171.109,181.685,186.328,206.363,199.914,198.280,196.561,211.608,230.181,223.560,205.675,209.802,224.334,212.554,216.509,181.341,149.355,161.909,173.001,167.498,168.616,168.444,165.950,166.638,169.991,171.109,163.972,147.291
industry sector - wood and wood products - energy use,169.819,163.027,164.058,159.673,164.058,176.354,185.985,182.029,177.644,175.322,200.086,191.230,196.217,193.035,196.905,189.338,186.242,191.831,191.144,177.730,191.316,174.635,165.692,157.954,161.393,161.565,160.877,159.157,156.922,153.568,148.495
other sectors - agriculture and forestry - energy use,125.709,116.595,100.000,114.187,112.296,118.401,125.365,140.929,144.798,115.047,102.322,112.726,112.812,106.363,107.137,131.040,167.670,178.418,136.543,157.094,108.169,102.837,75.150,106.965,103.095,108.340,111.006,98.366,102.322,88.048,91.230
other sectors - commercial and public services - energy use,2 094.669,2 175.494,2 199.054,2 187.704,2 210.060,2 241.617,2 234.652,2 123.474,2 157.696,2 243.508,2 182.545,2 410.404,2 407.739,2 344.196,2 369.475,2 247.206,2 333.534,2 446.862,2 415.821,2 299.570,2 337.661,2 118.315,2 213.328,2 192.949,2 265.434,2 384.867,2 470.593,2 369.991,2 408.598,2 361.049,2 513.070
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
other sectors - households - energy use,3 275.580,3 541.960,3 457.438,3 597.248,3 655.632,3 644.712,3 724.936,3 660.791,3 653.998,3 453.396,3 613.070,3 626.827,3 566.036,3 611.178,3 557.610,3 668.358,3 567.498,3 408.255,3 347.291,3 520.722,3 953.740,3 641.788,3 775.494,3 740.671,3 551.161,3 696.217,3 827.945,3 880.653,3 875.150,3 771.195,3 660.619
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - pipeline transport - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
transport sector - rail - energy use,212.726,206.621,212.554,201.204,212.296,233.706,263.715,254.084,240.413,259.329,274.635,246.088,246.518,244.024,257.008,242.304,248.065,251.849,203.955,209.630,206.707,226.999,230.868,236.457,224.850,223.130,229.063,212.898,221.238,213.500,194.497
transport sector - road - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.926,42.562
