Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,3 865.176,4 044.196,4 448.323,4 879.278,5 073.517,5 600.430,6 141.874,6 851.333,7 384.609,7 670.249,8 243.594,8 195.615,8 730.181,9 489.596,10 285.297,11 061.135,12 158.212,13 137.661,13 725.881,13 321.410,14 618.573,15 820.550,16 586.071,16 867.412,17 664.832,18 443.766,19 619.089,21 143.117,21 920.415,21 771.914,22 246.320
industry sector - chemical and petrochemical - energy use,289.682,168.358,166.552,183.749,130.782,135.684,167.326,171.625,223.216,286.500,225.365,207.137,243.766,292.003,377.472,340.929,333.878,353.568,317.197,276.698,372.829,350.989,358.555,346.346,359.673,408.942,464.746,527.210,595.734,579.417,659.274
industry sector - construction - energy use,34.222,32.072,43.594,54.256,61.909,80.567,93.723,41.702,159.243,97.506,103.697,102.408,101.720,103.697,93.121,108.684,135.598,176.698,186.586,165.090,194.411,243.766,249.183,262.081,240.327,246.432,260.189,319.979,326.457,341.511,335.439
"industry sector - food, beverages and tobacco - energy use",222.958,208.598,221.582,236.715,221.496,201.978,252.880,279.020,310.490,286.758,265.778,270.851,274.635,356.148,299.656,322.786,350.129,424.076,415.219,422.700,441.101,539.209,544.884,563.887,567.756,610.490,638.005,643.408,671.067,660.122,756.422
industry sector - iron and steel - energy use,416.079,429.665,514.359,579.020,560.963,861.479,699.398,744.884,748.323,665.090,721.840,693.207,694.239,823.904,940.671,1 002.666,1 152.107,1 330.782,1 377.042,1 375.752,1 425.193,1 724.076,1 761.049,1 739.725,1 778.504,1 779.106,1 947.034,2 193.397,2 192.795,2 085.167,2 168.055
industry sector - machinery - energy use,97.850,117.971,123.818,143.680,115.563,125.107,151.849,174.549,169.475,178.332,213.500,185.813,196.991,235.340,207.911,214.015,216.509,234.996,313.586,343.766,413.414,469.132,480.739,455.030,512.726,550.989,553.740,679.339,425.053,394.242,392.485
industry sector - mining and quarrying - energy use,40.499,39.553,42.992,49.355,47.463,76.526,41.101,56.664,36.715,39.811,58.641,51.505,49.097,55.030,60.447,77.730,96.561,112.640,56.836,49.355,75.494,94.239,104.557,161.393,131.642,119.948,129.493,120.550,136.989,158.016,182.656
industry sector - non-ferrous metals - energy use,219.518,208.426,226.225,229.837,180.567,185.899,252.365,241.187,232.846,231.040,216.165,216.939,218.745,264.918,231.900,213.672,239.467,261.049,212.554,165.434,198.366,213.156,206.879,195.787,207.825,255.718,269.905,322.680,308.700,327.375,384.001
industry sector - non-metallic minerals - energy use,343.250,367.670,406.965,427.257,371.281,409.716,475.408,460.791,508.770,559.415,504.729,471.539,423.818,481.685,522.786,517.971,553.482,665.606,838.607,831.728,946.690,946.088,979.708,1 015.649,1 048.581,1 132.416,1 221.066,1 237.639,1 236.199,1 103.221,1 239.306
industry sector - not elsewhere specified - energy use,185.039,201.892,239.209,265.004,465.864,356.406,420.636,462.339,552.623,635.942,675.666,734.824,961.049,788.134,1 118.229,1 173.861,1 311.178,1 124.506,1 217.713,928.719,1 035.082,1 248.065,1 441.531,1 466.552,1 588.650,1 819.003,1 734.738,1 737.356,1 680.588,1 723.037,1 615.866
"industry sector - paper, pulp and printing - energy use",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.251,122.700,141.359,100.258,103.353,136.887,106.449,118.917,150.473,183.061,168.186,157.610,190.198,217.971,228.633,229.321,276.096,281.083,292.175,301.499,295.705,309.542,320.700
industry sector - textile and leather - energy use,336.801,332.932,369.046,405.847,407.911,450.301,544.368,723.646,691.144,666.982,778.934,782.115,881.255,1 020.980,961.823,1 040.413,1 077.214,1 156.750,993.293,1 032.502,1 194.325,1 173.087,1 247.979,1 257.610,1 343.164,1 334.566,1 368.874,1 463.660,1 554.312,1 505.284,1 487.428
