Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"17,672.571","17,269.819","16,429.579","14,964.144","12,917.369","12,338.349","11,108.770","10,675.064","10,163.629","9,894.497","9,758.469","9,262.167","9,337.833","9,817.197","10,321.496","10,585.039","11,147.463","11,515.821","11,610.060","10,258.727","11,533.534","12,020.636","11,837.317","11,825.537","11,039.295","10,231.212","10,098.022","10,091.625","10,202.356","10,033.440","9,760.138"
industry sector - chemical and petrochemical - energy use,"1,605.847","1,550.645","1,368.100","1,077.902",918.487,863.285,723.388,650.817,619.776,553.998,557.438,484.781,515.649,534.738,571.109,588.736,595.443,568.100,516.251,346.432,426.225,504.987,489.338,376.182,328.633,265.262,255.288,248.237,267.842,322.220,340.843
industry sector - construction - energy use,342.304,318.573,252.794,231.040,182.545,162.511,128.805,124.678,121.582,104.987,83.319,67.756,62.253,73.431,87.188,95.701,113.156,128.461,136.973,101.462,101.548,94.497,87.102,86.242,73.259,64.316,69.991,76.698,82.889,83.181,82.270
"industry sector - food, beverages and tobacco - energy use",671.109,623.646,540.413,519.261,463.371,443.766,393.895,334.996,311.178,294.669,289.596,299.054,310.920,324.076,341.273,355.804,406.191,391.402,399.914,358.727,380.396,383.491,397.506,382.545,386.328,349.613,362.339,350.817,390.026,391.140,394.497
industry sector - iron and steel - energy use,"3,616.939","3,293.035","3,086.071","2,593.465","2,218.315","2,125.537","2,027.773","2,212.984","1,899.742","1,929.837","2,117.541","2,143.250","2,163.972","2,291.230","2,471.539","2,363.285","2,586.758","2,456.750","2,496.561","2,005.417","2,182.631","2,080.567","2,028.977","1,822.012","1,749.097","1,760.189","1,796.991","1,513.500","1,519.261","1,468.781","1,308.340"
industry sector - machinery - energy use,"1,615.563","1,566.294","1,244.024","1,276.440",859.845,680.911,568.874,520.120,501.118,456.922,460.103,419.604,361.909,361.909,373.431,391.574,399.312,410.662,392.863,295.615,341.960,376.010,369.046,310.060,242.562,229.149,210.748,342.132,351.247,230.700,211.006
industry sector - mining and quarrying - energy use,"1,390.886","1,255.288","1,174.635",979.278,813.500,825.021,688.220,750.129,695.357,616.337,666.896,679.794,679.708,721.926,767.326,798.710,877.644,868.444,831.212,738.607,850.043,874.549,871.195,901.806,859.071,844.110,817.713,810.490,812.038,803.090,824.420
industry sector - non-ferrous metals - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,143.766,155.288,139.639,143.078,152.021,153.826,153.396,155.116,153.654,327.859,154.170,193.551,115.133,146.174,86.242,154.600,143.336,142.476,126.741,130.696,138.435,133.256,128.031
industry sector - non-metallic minerals - energy use,699.140,615.047,620.464,498.108,365.348,284.093,247.979,233.620,243.422,234.996,224.076,202.408,218.745,247.721,272.743,288.822,316.939,329.579,354.944,215.735,243.336,264.746,239.123,231.642,199.914,202.494,191.745,193.379,221.152,215.295,209.372
industry sector - not elsewhere specified - energy use,"1,684.781","1,772.313",758.040,536.629,429.579,471.281,670.937,548.151,447.291,436.113,450.215,134.910,159.587,277.472,279.020,293.723,127.343,137.145,132.846,257.438,703.009,367.670,500.344,459.845,449.613,198.538,251.505,407.739,398.194,282.903,203.525
