Use,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
energy use,"23,596.905","24,165.778","24,201.978","24,602.837","24,442.304","25,341.531","26,600.688","26,758.040","27,143.422","27,750.989","28,325.021","28,608.942","28,667.326","28,909.544","29,144.110","29,980.653","29,684.351","29,377.128","29,391.402","27,665.262","28,286.071","27,342.046","27,377.042","27,201.892","26,047.979","26,103.690","26,151.390","25,767.914","25,843.455","25,397.627",0
industry sector - chemical and petrochemical - energy use,"1,564.316","1,491.917","1,510.834","1,592.605","1,502.408","1,642.476","1,789.682","1,801.892","1,798.452","1,863.887","2,040.585","1,812.468","1,965.692","1,697.420","1,713.500","1,816.423","1,753.310","1,736.629","1,744.368","1,522.098","1,587.962","1,516.767","1,505.331","1,420.894","1,330.696","1,342.638","1,297.345","1,309.863","1,312.553","1,286.702",0
industry sector - construction - energy use,109.974,125.795,149.527,140.843,134.050,154.772,155.546,133.018,131.900,131.384,136.371,146.002,146.174,146.260,155.116,165.864,158.212,154.600,156.234,136.371,139.381,132.330,128.461,125.881,119.776,117.260,112.535,121.824,119.833,118.868,0
"industry sector - food, beverages and tobacco - energy use",940.671,931.556,920.894,969.304,886.672,890.026,978.762,"1,003.697","1,019.089","1,076.870","1,008.083",994.841,"1,046.088",984.437,"1,035.942","1,055.288","1,041.874","1,038.865","1,053.912",923.560,990.542,973.517,957.610,952.966,915.219,926.750,942.350,950.721,"1,015.863",986.417,0
industry sector - iron and steel - energy use,779.966,771.109,731.298,782.975,822.872,837.747,861.995,834.652,822.958,840.843,545.916,455.976,437.833,467.240,465.348,431.642,503.869,424.506,400.430,310.834,330.353,331.212,307.739,326.655,325.623,317.074,243.348,232.380,220.138,210.088,0
industry sector - machinery - energy use,"1,796.819","1,713.242","1,690.370","1,674.119","1,602.150","1,688.478","1,236.801","1,240.757","1,248.151","1,275.150","1,342.648","1,226.569","1,261.737","1,247.549","1,291.402","1,380.310","1,361.307","1,354.084","1,376.612","1,216.079","1,230.353","1,173.259","1,140.241","1,138.005","1,085.727","1,051.211","1,054.887","1,071.066","1,083.217","1,077.271",0
industry sector - mining and quarrying - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.350,9.888,10.404,12.898,12.898,9.107,9.222,2.717,9.897,9.893,0
industry sector - non-ferrous metals - energy use,577.300,588.306,566.208,450.301,429.751,489.940,479.880,452.365,489.940,506.879,528.977,629.751,547.291,622.872,642.132,661.479,646.948,635.082,635.512,522.356,578.332,599.398,432.330,380.911,384.781,380.416,387.524,370.240,351.401,336.202,0
industry sector - non-metallic minerals - energy use,646.002,638.263,615.821,582.287,568.960,611.522,631.642,614.101,614.101,624.678,697.248,623.130,611.780,640.671,647.893,685.985,676.612,671.625,681.943,602.752,624.764,602.752,580.138,578.332,538.865,524.665,536.510,530.520,544.069,527.854,0
industry sector - not elsewhere specified - energy use,"1,292.003","1,380.310","1,135.770","1,118.487","1,146.604","1,234.738","1,357.180","1,370.249","1,376.784","1,472.485","1,677.902","1,909.974","1,857.180","1,735.684","1,733.964","1,848.237","1,844.282","1,808.083","1,868.358","1,700.000","1,802.150","1,787.102","1,747.807","1,751.161","1,681.771","1,768.866","1,892.440","1,796.526","1,883.260","1,837.459",0
"industry sector - paper, pulp and printing - energy use",685.899,688.822,644.368,751.505,758.641,819.261,825.107,931.728,918.659,944.884,981.599,989.768,"1,030.782","1,079.106","1,132.502","1,137.145","1,109.716","1,095.529","1,106.191",951.763,941.874,940.671,934.308,929.149,922.184,911.629,908.333,911.246,897.437,874.878,0
industry sector - textile and leather - energy use,260.705,232.158,227.171,264.488,322.184,285.899,270.937,321.152,315.219,322.528,309.458,284.007,297.764,292.605,286.586,291.745,288.908,287.962,291.917,259.071,262.253,257.266,250.215,248.839,233.964,231.494,231.621,233.736,233.946,229.108,0
industry sector - transport equipment - energy use,0.000,0.000,0.000,0.000,0.000,0.000,563.801,484.437,480.310,482.803,543.078,500.774,483.663,482.373,479.966,502.236,494.239,492.089,499.742,430.954,454.342,446.088,436.887,435.684,415.391,419.259,416.841,408.967,409.762,392.793,0
industry sector - wood and wood products - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.174,45.830,44.798,44.884,43.164,0.000,0.000,0.000,0.000,0.000,0
other sectors - agriculture and forestry - energy use,330.525,338.607,330.696,336.457,329.407,326.053,328.977,327.601,348.323,359.415,374.721,352.537,356.406,344.368,347.721,344.110,344.712,348.667,349.699,326.827,259.759,254.600,249.613,249.871,247.893,265.492,277.944,280.369,278.326,271.195,0
other sectors - commercial and public services - energy use,"6,093.723","6,377.300","6,664.144","6,661.135","6,619.862","6,873.517","7,166.294","7,531.728","7,440.155","7,626.741","7,780.310","8,006.879","8,049.871","7,886.672","8,183.835","8,501.978","8,393.637","8,406.191","8,586.500","8,222.528","8,372.485","8,230.267","8,323.474","8,396.561","8,027.171","8,094.959","8,056.086","7,978.686","7,928.543","7,752.051",0
other sectors - fishing - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86.586,84.867,83.233,83.319,82.631,88.497,92.648,93.456,92.775,90.398,0
other sectors - households - energy use,"8,064.746","8,434.910","8,553.912","8,637.661","8,719.433","8,788.478","9,244.454","8,981.513","9,407.567","9,484.781","9,616.681","9,917.197","9,848.151","10,576.182","10,679.278","10,809.200","10,722.614","10,582.631","10,300.946","10,192.691","10,217.713","9,594.669","9,859.243","9,751.677","9,292.863","9,266.023","9,288.482","9,060.009","9,033.925","8,927.331",0
other sectors - not elsewhere specified - energy use,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
transport sector - domestic aviation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport sector - domestic navigation - energy use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
