SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Additives and oxygenates (excluding biofuel portion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambient heat (heat pumps),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthracite,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,609.458,641.015,581.341,482.115,614.273,654.514,450.645,417.369,462.855,450.473,386.414,412.382,562.511,126.741,125.967,222.872,35.426,33.706
Aviation gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biogases,10.146,11.092,13.414,14.101,13.758,22.442,21.582,9.630,7.911,81.599,144.712,178.590,240.499,131.814,111.608,123.216,173.517,313.929,466.724,451.247,491.745,603.095,841.273,836.629,784.695,759.071,720.292,672.313,612.124,583.921,592.863
Bitumen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Blast furnace gas,97.678,106.965,110.748,88.650,132.846,137.661,158.555,188.908,192.261,177.300,179.708,291.831,284.953,318.315,311.178,248.753,242.734,236.629,209.974,115.477,223.474,213.929,210.060,230.610,203.869,0.000,0.000,0.000,0.000,0.000,0.000
Blended bio jet kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blended biodiesels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blended biogasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown coal briquettes,52.880,22.184,25.623,0.000,0.000,0.000,0.000,0.000,4.471,0.430,0.860,0.172,3.439,50.645,52.451,41.788,43.422,43.766,53.396,32.760,17.885,28.977,29.923,32.760,34.738,56.492,38.005,37.919,34.566,27.945,25.967
Charcoal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal tar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Coke oven coke,0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Coke oven gas,32.244,13.844,5.933,8.684,9.888,8.770,9.888,11.178,11.350,21.840,5.245,4.471,4.901,4.127,3.525,3.611,2.408,58.985,47.120,35.168,43.766,36.715,43.422,44.798,31.986,21.324,13.242,17.369,11.264,5.761,2.666
Coking coal,"3,641.359","3,764.488","3,427.687","3,820.980","4,084.437","4,106.105","3,447.721","3,268.530","3,180.567","3,144.454","2,598.968","2,554.944","2,749.441","2,651.075","2,683.921","2,553.826","2,402.580","2,655.030","2,080.567","1,448.753","1,103.439","1,286.071","1,796.991",387.618,703.181,67.584,655.890,791.574,649.699,0.000,0.000
